Time,Ax,Ay,Az,Gx,Gy,Gz
16:42:03:2336,-0.00,-9.63,0.20,-0.17,-0.37,-0.37
16:42:03:2536,-0.00,-9.64,0.16,-0.10,-0.09,-0.31
16:42:03:2736,-0.01,-9.66,0.18,-0.16,-0.02,-0.36
16:42:03:2936,-0.00,-9.65,0.19,-0.19,-0.15,-0.33
16:42:03:3136,-0.04,-9.62,0.19,-0.22,-0.06,-0.34
16:42:03:3336,-0.04,-9.62,0.19,-0.18,-0.14,-0.36
16:42:03:3536,-0.03,-9.59,0.19,-0.29,-0.27,-0.37
16:42:03:3736,-0.00,-9.64,0.18,-0.04,-0.14,-0.39
16:42:03:3936,-0.04,-9.65,0.22,-0.20,0.06,-0.41
16:42:03:4136,-0.01,-9.62,0.18,-0.13,-0.17,-0.38
16:42:03:4336,-0.01,-9.65,0.19,-0.19,-0.22,-0.31
16:42:03:4536,-0.02,-9.62,0.19,-0.29,-0.16,-0.27
16:42:03:4736,-0.01,-9.63,0.19,-0.07,-0.20,-0.41
16:42:03:4936,-0.02,-9.62,0.19,-0.19,-0.13,-0.42
16:42:03:5137,-0.00,-9.62,0.20,-0.06,-0.19,-0.29
16:42:03:5336,-0.03,-9.62,0.19,-0.16,-0.12,-0.34
16:42:03:5536,-0.00,-9.63,0.19,-0.14,-0.06,-0.38
16:42:03:5736,-0.00,-9.68,0.19,-0.11,-0.12,-0.40
16:42:03:5936,-0.01,-9.63,0.18,-0.13,-0.26,-0.27
16:42:03:6135,-0.01,-9.64,0.20,-0.20,-0.24,-0.34
16:42:03:6335,-0.02,-9.64,0.22,-0.14,-0.12,-0.31
16:42:03:6535,-0.01,-9.61,0.19,-0.07,-0.07,-0.28
16:42:03:6735,-0.02,-9.63,0.20,-0.21,-0.16,-0.40
16:42:03:6935,-0.00,-9.64,0.18,-0.14,-0.16,-0.31
16:42:03:7135,-0.01,-9.65,0.19,-0.18,-0.10,-0.39
16:42:03:7335,-0.00,-9.65,0.18,-0.09,-0.11,-0.40
16:42:03:7536,-0.02,-9.62,0.19,-0.21,-0.19,-0.40
16:42:03:7736,-0.01,-9.66,0.19,-0.06,-0.09,-0.34
16:42:03:7936,-0.01,-9.64,0.19,-0.18,0.00,-0.43
16:42:03:8136,-0.03,-9.61,0.19,-0.08,-0.20,-0.42
16:42:03:8336,-0.01,-9.62,0.20,-0.31,-0.20,-0.34
16:42:03:8536,-0.00,-9.64,0.18,0.01,0.02,-0.37
16:42:03:8736,-0.00,-9.64,0.19,-0.16,-0.09,-0.39
16:42:03:8936,-0.00,-9.62,0.19,-0.04,-0.16,-0.30
16:42:03:9136,-0.00,-9.65,0.20,-0.23,0.02,-0.44
16:42:03:9336,-0.00,-9.67,0.19,-0.15,-0.14,-0.34
16:42:03:9536,-0.00,-9.63,0.19,-0.20,-0.18,-0.37
16:42:03:9736,-0.01,-9.65,0.18,-0.20,-0.23,-0.44
16:42:03:9936,-0.00,-9.64,0.19,-0.20,-0.14,-0.34
16:42:04:0136,-0.01,-9.64,0.19,-0.18,-0.20,-0.30
16:42:04:0336,-0.00,-9.63,0.19,-0.17,-0.09,-0.37
16:42:04:0536,-0.02,-9.63,0.18,-0.09,-0.11,-0.39
16:42:04:0736,-0.01,-9.62,0.20,-0.24,-0.20,-0.38
16:42:04:0936,-0.02,-9.67,0.21,-0.09,-0.28,-0.35
