Time,Ax,Ay,Az,Gx,Gy,Gz
16:25:55:2297,-0.97,9.61,2.84,0.07,-0.24,-0.33
16:25:55:2497,-0.99,9.59,2.88,0.15,-0.28,-0.33
16:25:55:2697,-0.91,9.63,2.85,-0.04,0.02,-0.63
16:25:55:2897,-0.93,9.61,2.81,-0.48,-0.12,-0.32
16:25:55:3097,-0.98,9.59,2.86,-0.47,-0.37,-0.20
16:25:55:3297,-0.98,9.61,2.82,-0.50,-0.10,-0.37
16:25:55:3497,-0.93,9.65,2.84,-0.36,0.24,-0.60
16:25:55:3697,-0.97,9.62,2.76,-0.19,0.23,-0.33
16:25:55:3897,-0.96,9.60,2.86,-0.04,-0.21,-0.26
16:25:55:4097,-0.98,9.59,2.88,-0.11,-0.18,-0.24
16:25:55:4297,-0.94,9.60,2.85,-0.36,-0.05,-0.57
16:25:55:4497,-0.96,9.59,2.84,-0.40,0.30,-0.57
16:25:55:4697,-0.95,9.62,2.77,-0.52,0.17,-0.52
16:25:55:4897,-0.96,9.60,2.77,-0.32,-0.08,-0.36
16:25:55:5097,-0.95,9.60,2.75,-0.15,-0.27,-0.23
16:25:55:5297,-0.96,9.60,2.88,0.04,-0.36,-0.19
16:25:55:5499,-0.93,9.62,2.87,-0.24,-0.35,-0.33
16:25:55:5699,-0.97,9.61,2.82,-0.23,-0.06,-0.26
16:25:55:5898,-0.97,9.60,2.79,-0.20,-0.15,-0.38
16:25:55:6098,-0.98,9.60,2.80,-0.22,-0.19,-0.34
16:25:55:6298,-0.97,9.61,2.84,-0.12,-0.03,-0.44
16:25:55:6498,-0.98,9.62,2.84,0.05,0.05,-0.42
16:25:55:6698,-0.95,9.61,2.88,-0.20,-0.16,-0.32
16:25:55:6898,-0.97,9.60,2.84,-0.26,0.09,-0.47
16:25:55:7098,-0.94,9.60,2.81,-0.36,-0.20,-0.51
16:25:55:7298,-0.97,9.63,2.84,-0.19,-0.07,-0.40
16:25:55:7499,-0.98,9.60,2.85,-0.25,-0.12,-0.51
16:25:55:7698,-0.95,9.65,2.81,-0.33,-0.01,-0.52
16:25:55:7898,-0.97,9.63,2.76,-0.24,-0.01,-0.38
