Time,Ax,Ay,Az,Gx,Gy,Gz
11:03:42:9762,9.84,0.20,0.60,-0.24,-0.19,-0.41
11:03:42:9963,9.86,0.18,0.64,-0.21,0.02,-0.37
11:03:43:0163,9.86,0.19,0.60,-0.17,-0.03,-0.39
11:03:43:0363,9.85,0.20,0.61,-0.17,-0.17,-0.28
11:03:43:0563,9.85,0.19,0.62,-0.20,-0.16,-0.43
11:03:43:0763,9.85,0.20,0.60,-0.19,-0.32,-0.40
11:03:43:0964,9.86,0.23,0.62,-0.25,-0.32,-0.30
11:03:43:1163,9.85,0.20,0.61,-0.16,-0.20,-0.37
11:03:43:1363,9.83,0.20,0.64,-0.12,-0.08,-0.30
11:03:43:1563,9.86,0.20,0.61,-0.28,-0.17,-0.36
11:03:43:1763,9.84,0.20,0.61,-0.23,-0.27,-0.37
11:03:43:1963,9.85,0.20,0.61,-0.20,-0.21,-0.38
11:03:43:2163,9.85,0.20,0.60,-0.21,-0.29,-0.36
11:03:43:2363,9.84,0.18,0.61,-0.22,-0.06,-0.31
11:03:43:2563,9.83,0.19,0.62,-0.21,0.00,-0.34
11:03:43:2763,9.86,0.20,0.62,-0.21,-0.01,-0.38
11:03:43:2963,9.86,0.17,0.59,-0.24,-0.15,-0.38
11:03:43:3162,9.86,0.20,0.64,-0.32,-0.18,-0.34
11:03:43:3362,9.84,0.20,0.61,-0.18,-0.10,-0.42
11:03:43:3562,9.84,0.21,0.63,-0.19,-0.09,-0.36
11:03:43:3762,9.84,0.20,0.60,-0.14,-0.20,-0.37
11:03:43:3962,9.84,0.20,0.60,-0.15,-0.04,-0.38
11:03:43:4162,9.83,0.20,0.58,-0.16,-0.02,-0.34
11:03:43:4362,9.86,0.20,0.59,-0.23,-0.07,-0.40
11:03:43:4562,9.86,0.20,0.59,-0.19,-0.09,-0.33
11:03:43:4762,9.84,0.22,0.61,-0.15,-0.26,-0.39
11:03:43:4962,9.84,0.19,0.60,-0.20,-0.25,-0.39
11:03:43:5162,9.84,0.20,0.59,-0.23,-0.07,-0.34
11:03:43:5362,9.84,0.20,0.61,-0.28,-0.27,-0.37
11:03:43:5562,9.84,0.22,0.62,-0.22,-0.15,-0.36
11:03:43:5762,9.83,0.19,0.59,-0.18,0.01,-0.35
11:03:43:5963,9.84,0.20,0.60,-0.25,-0.10,-0.42
11:03:43:6162,9.85,0.19,0.59,-0.26,-0.09,-0.36
11:03:43:6362,9.82,0.18,0.62,-0.26,-0.14,-0.36
11:03:43:6562,9.86,0.18,0.60,-0.10,-0.14,-0.39
11:03:43:6762,9.84,0.20,0.62,-0.20,-0.04,-0.36
11:03:43:6962,9.83,0.20,0.60,-0.24,-0.04,-0.40
11:03:43:7162,9.85,0.20,0.60,-0.27,-0.10,-0.37
11:03:43:7362,9.84,0.19,0.59,-0.20,-0.20,-0.32
11:03:43:7562,9.85,0.19,0.61,-0.23,-0.19,-0.33
11:03:43:7762,9.86,0.21,0.60,-0.17,-0.15,-0.37
11:03:43:7962,9.84,0.18,0.61,-0.14,-0.18,-0.39
11:03:43:8162,9.85,0.22,0.60,-0.24,-0.20,-0.40
11:03:43:8362,9.83,0.20,0.59,-0.22,-0.15,-0.44
11:03:43:8563,9.85,0.21,0.62,-0.27,-0.17,-0.34
11:03:43:8762,9.83,0.20,0.60,-0.34,-0.26,-0.42
11:03:43:8963,9.82,0.21,0.63,-0.17,0.01,-0.43
11:03:43:9162,9.83,0.20,0.61,-0.20,-0.19,-0.33
11:03:43:9363,9.84,0.20,0.60,-0.14,0.01,-0.40
11:03:43:9563,9.84,0.20,0.62,-0.28,-0.26,-0.39
11:03:43:9763,9.88,0.20,0.61,-0.16,-0.08,-0.34
11:03:43:9963,9.83,0.20,0.60,-0.14,-0.21,-0.33
11:03:44:0163,9.84,0.19,0.62,-0.12,-0.08,-0.39
11:03:44:0363,9.83,0.21,0.61,-0.03,-0.18,-0.34
11:03:44:0563,9.86,0.20,0.63,-0.17,0.05,-0.39
11:03:44:0763,9.82,0.20,0.59,-0.22,-0.22,-0.33
11:03:44:0964,9.87,0.20,0.61,-0.20,-0.04,-0.44
11:03:44:1163,9.84,0.20,0.61,-0.23,-0.03,-0.39
11:03:44:1363,9.85,0.20,0.60,-0.23,-0.16,-0.38
11:03:44:1563,9.83,0.20,0.61,-0.25,-0.14,-0.39
11:03:44:1763,9.84,0.19,0.61,-0.24,-0.09,-0.38
11:03:44:1963,9.84,0.20,0.60,-0.23,-0.13,-0.42
11:03:44:2163,9.85,0.21,0.61,-0.25,-0.14,-0.33
11:03:44:2363,9.85,0.20,0.61,-0.08,-0.07,-0.35
11:03:44:2563,9.84,0.20,0.60,-0.18,-0.20,-0.39
11:03:44:2763,9.84,0.19,0.63,-0.15,-0.12,-0.43
11:03:44:2963,9.84,0.22,0.60,-0.20,-0.18,-0.41
11:03:44:3162,9.83,0.20,0.62,-0.20,-0.17,-0.37
11:03:44:3362,9.87,0.20,0.59,-0.18,0.05,-0.36
11:03:44:3562,9.84,0.19,0.62,-0.32,-0.06,-0.36
11:03:44:3762,9.83,0.20,0.61,-0.17,-0.23,-0.42
11:03:44:3962,9.84,0.18,0.60,-0.23,-0.17,-0.41
11:03:44:4162,9.86,0.20,0.62,-0.17,-0.10,-0.38
11:03:44:4362,9.83,0.21,0.60,-0.16,-0.12,-0.33
11:03:44:4562,9.83,0.19,0.60,-0.26,-0.04,-0.34
11:03:44:4762,9.83,0.21,0.60,-0.30,0.00,-0.44
11:03:44:4962,9.85,0.20,0.63,-0.23,-0.14,-0.29
11:03:44:5162,9.82,0.19,0.61,-0.26,-0.22,-0.36
11:03:44:5362,9.84,0.20,0.61,-0.13,-0.11,-0.36
11:03:44:5562,9.84,0.20,0.59,-0.11,-0.12,-0.39
11:03:44:5762,9.86,0.20,0.61,-0.30,-0.27,-0.37
11:03:44:5963,9.83,0.19,0.61,-0.25,-0.06,-0.50
11:03:44:6162,9.84,0.20,0.62,-0.22,-0.26,-0.38
11:03:44:6362,9.84,0.21,0.62,-0.20,-0.18,-0.42
11:03:44:6562,9.84,0.20,0.60,-0.23,-0.14,-0.38
11:03:44:6762,9.84,0.20,0.62,-0.15,-0.06,-0.36
11:03:44:6962,9.86,0.20,0.63,-0.19,-0.07,-0.42
11:03:44:7162,9.83,0.18,0.59,-0.20,-0.21,-0.31
11:03:44:7362,9.84,0.19,0.61,-0.28,-0.17,-0.44
11:03:44:7562,9.84,0.18,0.62,-0.14,-0.12,-0.35
11:03:44:7762,9.85,0.21,0.60,-0.20,-0.23,-0.37
11:03:44:7962,9.85,0.20,0.60,-0.18,-0.19,-0.35
11:03:44:8162,9.86,0.20,0.60,-0.20,-0.14,-0.44
11:03:44:8362,9.82,0.19,0.60,-0.17,-0.10,-0.44
11:03:44:8563,9.84,0.20,0.62,-0.25,-0.18,-0.34
11:03:44:8762,9.84,0.20,0.61,-0.25,-0.30,-0.31
11:03:44:8963,9.85,0.20,0.64,-0.20,-0.05,-0.39
11:03:44:9163,9.83,0.21,0.64,-0.24,-0.21,-0.32
11:03:44:9363,9.84,0.22,0.59,-0.20,-0.03,-0.43
11:03:44:9563,9.83,0.22,0.61,-0.21,-0.17,-0.31
11:03:44:9763,9.83,0.18,0.61,-0.28,-0.21,-0.31
11:03:44:9963,9.85,0.19,0.58,-0.14,0.00,-0.35
11:03:45:0163,9.83,0.20,0.60,-0.25,-0.19,-0.36
11:03:45:0363,9.86,0.19,0.62,-0.24,-0.23,-0.33
11:03:45:0563,9.82,0.22,0.60,-0.16,-0.04,-0.36
11:03:45:0763,9.85,0.20,0.61,-0.17,-0.02,-0.38
11:03:45:0964,9.84,0.21,0.61,-0.27,-0.08,-0.33
11:03:45:1163,9.84,0.20,0.61,-0.21,-0.14,-0.42
11:03:45:1363,9.83,0.20,0.62,-0.19,-0.08,-0.47
11:03:45:1563,9.85,0.20,0.60,-0.18,-0.31,-0.31
11:03:45:1763,9.85,0.21,0.60,-0.20,0.02,-0.39
11:03:45:1963,9.86,0.20,0.63,-0.14,-0.13,-0.34
11:03:45:2163,9.83,0.20,0.60,-0.18,-0.18,-0.47
11:03:45:2363,9.86,0.20,0.59,-0.23,-0.27,-0.36
11:03:45:2563,9.84,0.20,0.59,-0.22,-0.15,-0.37
11:03:45:2763,9.85,0.18,0.62,-0.12,-0.18,-0.36
11:03:45:2963,9.84,0.19,0.64,-0.31,-0.17,-0.39
