Time,Ax,Ay,Az,Gx,Gy,Gz
11:25:43:1175,9.53,2.58,0.62,-0.17,-0.19,-0.38
11:25:43:1375,9.58,2.60,0.62,-0.17,-0.11,-0.36
11:25:43:1575,9.53,2.60,0.58,-0.22,-0.10,-0.33
11:25:43:1775,9.58,2.60,0.59,-0.20,-0.11,-0.44
11:25:43:1975,9.54,2.61,0.62,-0.16,-0.10,-0.34
11:25:43:2175,9.57,2.60,0.59,-0.20,-0.11,-0.34
11:25:43:2375,9.55,2.59,0.61,-0.26,-0.30,-0.22
11:25:43:2575,9.56,2.60,0.60,-0.23,-0.26,-0.37
11:25:43:2775,9.55,2.58,0.62,-0.17,-0.20,-0.37
11:25:43:2975,9.57,2.58,0.59,-0.24,-0.19,-0.31
11:25:43:3175,9.53,2.58,0.61,-0.22,-0.14,-0.27
11:25:43:3376,9.58,2.58,0.60,-0.20,-0.15,-0.35
11:25:43:3575,9.54,2.59,0.61,-0.32,-0.18,-0.27
11:25:43:3774,9.57,2.57,0.61,-0.19,-0.03,-0.37
11:25:43:3974,9.54,2.61,0.58,-0.22,-0.14,-0.39
11:25:43:4174,9.56,2.58,0.61,-0.28,-0.16,-0.45
11:25:43:4374,9.54,2.58,0.60,-0.24,-0.11,-0.30
11:25:43:4574,9.57,2.58,0.58,-0.23,-0.08,-0.40
11:25:43:4774,9.52,2.60,0.59,-0.17,-0.20,-0.32
11:25:43:4974,9.58,2.58,0.60,-0.09,-0.08,-0.42
11:25:43:5174,9.56,2.59,0.58,-0.20,-0.08,-0.29
11:25:43:5375,9.57,2.58,0.59,-0.31,-0.29,-0.36
11:25:43:5575,9.55,2.61,0.59,-0.19,-0.06,-0.36
11:25:43:5775,9.58,2.60,0.59,-0.27,-0.22,-0.42
11:25:43:5975,9.52,2.59,0.61,-0.17,-0.09,-0.36
11:25:43:6175,9.56,2.59,0.59,-0.24,-0.21,-0.43
11:25:43:6375,9.54,2.58,0.59,-0.20,-0.09,-0.23
11:25:43:6575,9.56,2.61,0.62,-0.23,-0.18,-0.37
11:25:43:6775,9.56,2.61,0.63,-0.21,-0.19,-0.34
11:25:43:6975,9.58,2.60,0.61,-0.25,-0.29,-0.43
11:25:43:7175,9.55,2.61,0.60,-0.18,-0.03,-0.38
11:25:43:7375,9.58,2.60,0.60,-0.26,-0.31,-0.31
11:25:43:7575,9.55,2.59,0.63,-0.12,-0.09,-0.33
11:25:43:7775,9.56,2.58,0.59,-0.16,-0.17,-0.49
11:25:43:7975,9.53,2.60,0.59,-0.25,0.01,-0.29
11:25:43:8175,9.56,2.57,0.61,-0.23,-0.22,-0.39
11:25:43:8376,9.57,2.58,0.58,-0.23,-0.24,-0.35
11:25:43:8575,9.58,2.58,0.62,-0.19,0.00,-0.40
11:25:43:8775,9.53,2.57,0.60,-0.19,-0.20,-0.25
11:25:43:8975,9.58,2.58,0.59,-0.21,-0.11,-0.34
11:25:43:9175,9.55,2.58,0.58,-0.22,-0.21,-0.28
11:25:43:9375,9.58,2.59,0.60,-0.12,-0.19,-0.38
11:25:43:9575,9.53,2.57,0.59,-0.21,-0.07,-0.42
11:25:43:9775,9.57,2.60,0.59,-0.22,-0.11,-0.34
11:25:43:9975,9.55,2.58,0.60,-0.23,-0.32,-0.36
11:25:44:0175,9.58,2.58,0.60,-0.16,-0.05,-0.33
11:25:44:0375,9.53,2.60,0.62,-0.26,0.00,-0.37
11:25:44:0575,9.56,2.59,0.59,-0.19,-0.27,-0.37
11:25:44:0775,9.54,2.61,0.61,-0.28,-0.18,-0.34
11:25:44:0976,9.58,2.60,0.59,-0.23,-0.24,-0.37
11:25:44:1175,9.53,2.59,0.61,-0.15,-0.06,-0.42
11:25:44:1376,9.56,2.58,0.60,-0.21,-0.15,-0.35
11:25:44:1576,9.54,2.59,0.60,-0.14,-0.04,-0.43
11:25:44:1776,9.54,2.61,0.59,-0.20,-0.19,-0.28
11:25:44:1976,9.58,2.59,0.59,-0.33,-0.23,-0.46
11:25:44:2176,9.55,2.58,0.59,-0.07,-0.03,-0.26
11:25:44:2376,9.55,2.56,0.62,-0.20,-0.20,-0.36
11:25:44:2576,9.53,2.60,0.62,-0.20,-0.07,-0.33
11:25:44:2776,9.55,2.57,0.59,-0.21,-0.14,-0.40
11:25:44:2976,9.58,2.59,0.62,-0.20,-0.14,-0.31
11:25:44:3176,9.56,2.56,0.59,-0.26,-0.25,-0.41
11:25:44:3377,9.57,2.59,0.62,-0.16,-0.17,-0.25
11:25:44:3575,9.55,2.58,0.61,-0.18,-0.20,-0.45
11:25:44:3775,9.58,2.60,0.59,-0.15,-0.10,-0.27
11:25:44:3975,9.57,2.58,0.59,-0.18,-0.13,-0.40
11:25:44:4175,9.57,2.61,0.59,-0.24,-0.21,-0.23
11:25:44:4375,9.57,2.58,0.60,-0.21,-0.13,-0.39
11:25:44:4575,9.56,2.58,0.61,-0.20,-0.14,-0.26
11:25:44:4775,9.57,2.58,0.60,-0.20,-0.05,-0.37
11:25:44:4975,9.56,2.59,0.60,-0.21,-0.09,-0.21
11:25:44:5175,9.57,2.57,0.62,-0.20,0.02,-0.39
11:25:44:5375,9.55,2.57,0.61,-0.29,-0.11,-0.36
11:25:44:5575,9.58,2.59,0.59,-0.28,-0.20,-0.46
11:25:44:5775,9.57,2.58,0.57,-0.19,-0.20,-0.17
11:25:44:5976,9.56,2.58,0.61,-0.11,-0.08,-0.40
11:25:44:6175,9.56,2.60,0.59,-0.19,0.04,-0.30
11:25:44:6375,9.56,2.58,0.59,-0.23,-0.17,-0.38
11:25:44:6575,9.55,2.59,0.60,-0.21,-0.18,-0.34
11:25:44:6775,9.55,2.60,0.60,-0.09,-0.19,-0.41
11:25:44:6975,9.56,2.57,0.61,-0.11,-0.20,-0.36
11:25:44:7175,9.53,2.59,0.59,-0.28,-0.20,-0.37
11:25:44:7376,9.56,2.61,0.62,-0.11,-0.26,-0.28
11:25:44:7575,9.56,2.57,0.60,-0.23,-0.14,-0.30
11:25:44:7776,9.54,2.60,0.63,-0.27,-0.18,-0.36
11:25:44:7976,9.55,2.59,0.57,-0.13,-0.19,-0.31
11:25:44:8176,9.53,2.61,0.58,-0.20,-0.21,-0.31
11:25:44:8376,9.57,2.57,0.59,-0.21,-0.29,-0.39
11:25:44:8576,9.55,2.60,0.62,-0.25,-0.08,-0.34
11:25:44:8776,9.58,2.58,0.60,-0.19,-0.05,-0.40
11:25:44:8976,9.56,2.57,0.59,-0.14,-0.06,-0.27
11:25:44:9176,9.58,2.58,0.62,-0.21,-0.14,-0.48
11:25:44:9376,9.55,2.59,0.61,-0.21,-0.12,-0.30
11:25:44:9576,9.56,2.57,0.61,-0.22,-0.05,-0.43
11:25:44:9776,9.57,2.59,0.61,-0.17,-0.08,-0.29
11:25:44:9976,9.58,2.60,0.59,-0.17,-0.05,-0.42
11:25:45:0176,9.55,2.57,0.62,-0.09,-0.04,-0.32
11:25:45:0376,9.58,2.60,0.59,-0.08,-0.20,-0.43
11:25:45:0576,9.55,2.57,0.62,-0.21,-0.09,-0.29
11:25:45:0776,9.56,2.59,0.59,-0.24,0.05,-0.33
11:25:45:0976,9.55,2.58,0.61,-0.20,-0.16,-0.32
11:25:45:1176,9.58,2.57,0.62,-0.21,-0.23,-0.34
11:25:45:1376,9.53,2.59,0.58,-0.26,-0.34,-0.31
11:25:45:1576,9.58,2.58,0.60,-0.13,-0.06,-0.39
11:25:45:1776,9.54,2.59,0.59,-0.05,-0.13,-0.30
11:25:45:1976,9.58,2.58,0.62,-0.14,-0.16,-0.47
11:25:45:2176,9.54,2.58,0.61,-0.18,-0.08,-0.34
11:25:45:2376,9.57,2.57,0.60,-0.12,-0.23,-0.37
11:25:45:2576,9.57,2.59,0.60,-0.20,0.03,-0.35
11:25:45:2776,9.58,2.59,0.60,-0.20,-0.16,-0.42
11:25:45:2976,9.53,2.59,0.59,-0.28,-0.23,-0.40
11:25:45:3176,9.58,2.60,0.60,-0.21,-0.11,-0.30
11:25:45:3377,9.55,2.61,0.59,-0.21,-0.19,-0.27
11:25:45:3576,9.56,2.59,0.60,-0.20,-0.22,-0.38
11:25:45:3776,9.55,2.60,0.60,-0.33,-0.18,-0.36
11:25:45:3976,9.58,2.60,0.61,-0.17,-0.07,-0.34
11:25:45:4176,9.53,2.58,0.61,-0.21,-0.19,-0.32
11:25:45:4376,9.58,2.58,0.61,-0.24,-0.20,-0.28
11:25:45:4576,9.55,2.58,0.61,-0.25,-0.12,-0.31
11:25:45:4776,9.57,2.61,0.58,-0.28,-0.21,-0.30
11:25:45:4976,9.54,2.59,0.60,-0.29,-0.08,-0.34
11:25:45:5176,9.57,2.58,0.61,-0.22,-0.28,-0.45
11:25:45:5376,9.56,2.58,0.60,-0.14,-0.21,-0.38
11:25:45:5576,9.55,2.58,0.61,-0.16,-0.12,-0.39
11:25:45:5776,9.53,2.59,0.59,-0.18,-0.14,-0.33
11:25:45:5976,9.57,2.59,0.62,-0.23,-0.12,-0.37
11:25:45:6176,9.55,2.60,0.58,-0.18,-0.23,-0.29
11:25:45:6376,9.56,2.60,0.60,-0.20,-0.17,-0.40
11:25:45:6576,9.54,2.58,0.60,-0.18,0.00,-0.37
11:25:45:6776,9.57,2.58,0.60,-0.26,-0.15,-0.34
11:25:45:6976,9.54,2.58,0.63,-0.04,-0.03,-0.37
11:25:45:7176,9.58,2.56,0.59,-0.20,-0.19,-0.38
11:25:45:7376,9.56,2.61,0.61,-0.20,-0.08,-0.36
11:25:45:7576,9.57,2.57,0.59,-0.21,-0.28,-0.36
11:25:45:7776,9.54,2.59,0.65,-0.12,-0.07,-0.34
11:25:45:7976,9.55,2.56,0.61,-0.25,-0.20,-0.26
11:25:45:8176,9.54,2.57,0.61,-0.20,-0.12,-0.34
11:25:45:8377,9.55,2.60,0.59,-0.11,-0.08,-0.36
11:25:45:8576,9.56,2.57,0.58,-0.14,-0.08,-0.38
11:25:45:8776,9.57,2.58,0.59,-0.12,-0.04,-0.33
11:25:45:8976,9.57,2.59,0.58,-0.18,-0.07,-0.40
11:25:45:9176,9.57,2.58,0.60,-0.26,-0.07,-0.42
11:25:45:9377,9.56,2.57,0.59,-0.17,-0.18,-0.36
11:25:45:9576,9.57,2.58,0.59,-0.13,-0.09,-0.31
11:25:45:9777,9.53,2.59,0.59,-0.15,-0.20,-0.32
11:25:45:9976,9.57,2.59,0.60,-0.19,-0.16,-0.36
11:25:46:0177,9.52,2.60,0.63,-0.27,-0.17,-0.36
11:25:46:0377,9.58,2.56,0.56,-0.22,-0.09,-0.37
11:25:46:0577,9.54,2.60,0.59,-0.21,-0.12,-0.35
11:25:46:0777,9.55,2.60,0.59,-0.18,-0.19,-0.31
11:25:46:0977,9.54,2.57,0.59,-0.28,-0.17,-0.35
11:25:46:1177,9.57,2.59,0.59,-0.21,-0.11,-0.31
11:25:46:1377,9.56,2.58,0.59,-0.17,-0.12,-0.36
11:25:46:1577,9.56,2.56,0.60,-0.15,0.02,-0.36
11:25:46:1777,9.55,2.58,0.61,-0.18,-0.12,-0.41
11:25:46:1977,9.55,2.58,0.60,-0.06,-0.11,-0.30
11:25:46:2177,9.57,2.59,0.60,-0.28,-0.19,-0.38
11:25:46:2377,9.55,2.58,0.59,-0.22,-0.06,-0.36
11:25:46:2577,9.57,2.59,0.61,-0.13,-0.12,-0.40
11:25:46:2777,9.56,2.58,0.59,-0.24,-0.16,-0.34
11:25:46:2977,9.56,2.59,0.62,-0.17,-0.15,-0.42
11:25:46:3177,9.56,2.58,0.59,-0.17,-0.07,-0.38
11:25:46:3378,9.56,2.58,0.62,-0.24,-0.21,-0.39
11:25:46:3576,9.55,2.60,0.60,-0.17,-0.15,-0.44
11:25:46:3776,9.58,2.58,0.63,-0.20,-0.13,-0.40
11:25:46:3976,9.58,2.59,0.60,-0.21,-0.20,-0.38
11:25:46:4176,9.57,2.56,0.61,-0.22,-0.20,-0.34
11:25:46:4376,9.58,2.58,0.59,-0.18,-0.19,-0.39
11:25:46:4576,9.57,2.58,0.59,-0.16,-0.15,-0.38
11:25:46:4776,9.54,2.60,0.60,-0.26,-0.15,-0.30
11:25:46:4976,9.58,2.58,0.62,-0.09,0.00,-0.39
11:25:46:5176,9.56,2.58,0.61,-0.21,-0.04,-0.41
11:25:46:5377,9.55,2.61,0.59,-0.11,-0.04,-0.39
11:25:46:5576,9.55,2.62,0.59,-0.34,-0.01,-0.37
11:25:46:5777,9.55,2.58,0.61,-0.17,-0.16,-0.36
11:25:46:5977,9.54,2.59,0.58,-0.15,-0.15,-0.36
11:25:46:6176,9.55,2.58,0.61,-0.14,-0.04,-0.36
11:25:46:6376,9.56,2.61,0.60,-0.23,-0.20,-0.29
11:25:46:6577,9.56,2.57,0.60,-0.18,-0.11,-0.43
11:25:46:6777,9.53,2.60,0.59,-0.19,-0.16,-0.33
11:25:46:6977,9.56,2.56,0.61,-0.21,-0.19,-0.36
11:25:46:7177,9.54,2.58,0.59,-0.16,0.03,-0.39
11:25:46:7377,9.56,2.57,0.63,-0.14,-0.20,-0.35
11:25:46:7577,9.54,2.59,0.57,-0.28,-0.23,-0.34
11:25:46:7777,9.58,2.58,0.61,-0.26,-0.04,-0.42
11:25:46:7977,9.54,2.58,0.62,-0.09,-0.04,-0.40
11:25:46:8177,9.58,2.58,0.60,-0.10,-0.05,-0.45
11:25:46:8378,9.54,2.60,0.60,-0.32,-0.23,-0.24
11:25:46:8577,9.58,2.58,0.59,-0.14,-0.19,-0.38
11:25:46:8777,9.53,2.59,0.61,-0.21,-0.20,-0.31
