Time,Ax,Ay,Az,Gx,Gy,Gz
14:36:54:5124,-0.39,0.15,10.03,-0.26,-0.21,-0.33
14:36:54:5298,-0.08,0.14,9.92,-0.29,-0.14,-0.34
14:36:54:5498,-0.06,0.08,9.95,-0.11,-0.14,-0.38
14:38:36:0438,-0.05,0.10,10.10,-0.18,0.04,-0.43
14:38:36:0638,-0.07,0.13,10.06,-0.32,-0.08,-0.32
14:38:36:0838,-0.06,0.09,10.06,-0.29,-0.26,-0.46
14:38:36:1039,-0.08,0.10,10.08,-0.20,-0.22,-0.33
14:38:36:1238,-0.06,0.09,10.02,-0.17,-0.03,-0.46
14:38:36:1439,-0.05,0.13,10.00,-0.19,-0.17,-0.37
14:38:36:1639,-0.05,0.10,9.99,-0.16,-0.17,-0.42
14:38:36:1839,-0.06,0.07,10.06,-0.22,-0.39,-0.28
14:38:36:2039,-0.07,0.11,10.03,-0.26,-0.18,-0.30
14:38:36:2239,-0.06,0.10,10.07,-0.11,-0.06,-0.34
14:38:36:2439,-0.05,0.09,10.07,-0.12,-0.21,-0.36
14:38:36:2639,-0.05,0.06,10.03,-0.23,-0.20,-0.39
14:38:36:2839,-0.04,0.10,10.05,-0.26,-0.18,-0.34
14:38:36:3039,-0.07,0.09,9.99,-0.19,-0.26,-0.42
14:38:36:3239,-0.04,0.08,10.06,-0.12,-0.20,-0.34
14:38:36:3440,-0.06,0.10,10.01,-0.31,-0.10,-0.40
14:38:36:3639,-0.06,0.11,10.06,-0.13,-0.17,-0.25
14:38:36:3839,-0.06,0.10,10.03,-0.23,-0.29,-0.27
14:38:36:4039,-0.07,0.06,10.00,-0.13,-0.08,-0.39
14:38:36:4239,-0.07,0.11,10.03,-0.21,-0.17,-0.42
14:38:36:4439,-0.06,0.09,10.04,-0.10,-0.08,-0.45
14:38:36:4639,-0.08,0.09,10.09,-0.26,-0.08,-0.32
14:38:36:4839,-0.06,0.07,10.00,-0.24,-0.21,-0.36
14:38:36:5039,-0.06,0.09,10.06,-0.26,-0.31,-0.39
14:38:36:5239,-0.09,0.10,10.02,-0.25,-0.16,-0.36
14:38:36:5439,-0.06,0.08,10.06,-0.21,-0.20,-0.37
14:38:36:5639,-0.07,0.09,10.02,-0.09,-0.06,-0.34
14:38:36:5839,-0.06,0.08,10.04,-0.27,-0.14,-0.37
14:38:36:6040,-0.06,0.06,10.05,-0.19,-0.16,-0.42
14:38:36:6239,-0.05,0.11,10.03,-0.23,-0.15,-0.36
14:38:36:6439,-0.09,0.09,10.03,-0.20,-0.20,-0.35
14:38:36:6639,-0.05,0.09,10.05,-0.25,-0.21,-0.33
14:38:36:6839,-0.07,0.08,10.02,-0.24,-0.13,-0.35
14:38:36:7039,-0.08,0.06,10.05,-0.20,-0.10,-0.37
14:38:36:7239,-0.07,0.11,10.05,-0.13,-0.05,-0.40
14:38:36:7440,-0.06,0.10,10.04,-0.21,-0.13,-0.39
14:38:36:7639,-0.09,0.08,10.04,-0.25,-0.20,-0.36
14:38:36:7839,-0.07,0.10,9.99,-0.24,-0.08,-0.32
14:38:36:8040,-0.05,0.08,10.05,-0.20,-0.09,-0.45
14:38:36:8240,-0.05,0.08,10.04,-0.21,-0.31,-0.33
14:38:36:8440,-0.07,0.10,10.06,-0.26,-0.19,-0.34
14:38:36:8640,-0.07,0.09,10.06,-0.17,-0.05,-0.42
14:38:36:8840,-0.06,0.10,10.01,-0.21,-0.20,-0.27
14:38:36:9040,-0.07,0.09,10.04,-0.25,-0.29,-0.38
14:38:36:9240,-0.07,0.09,10.01,-0.19,-0.27,-0.40
14:38:36:9440,-0.08,0.08,10.04,-0.32,-0.22,-0.37
14:38:36:9640,-0.07,0.10,10.05,-0.33,-0.19,-0.37
14:38:36:9840,-0.06,0.09,10.03,-0.28,-0.20,-0.31
14:38:37:0040,-0.08,0.09,10.07,-0.22,-0.16,-0.39
14:38:37:0240,-0.04,0.13,10.02,-0.23,-0.13,-0.36
14:38:37:0440,-0.05,0.10,10.02,-0.24,-0.18,-0.37
14:38:37:0640,-0.08,0.10,10.01,-0.24,-0.09,-0.42
14:38:37:0840,-0.05,0.09,10.08,-0.19,-0.13,-0.39
14:38:37:1041,-0.05,0.10,10.04,-0.26,-0.13,-0.39
14:38:37:1240,-0.08,0.10,10.03,-0.25,-0.06,-0.33
14:38:37:1440,-0.04,0.08,10.01,-0.20,-0.09,-0.42
14:38:37:1640,-0.06,0.08,10.07,-0.26,-0.09,-0.26
14:38:37:1840,-0.08,0.11,10.04,-0.17,-0.08,-0.39
14:38:37:2040,-0.08,0.08,10.01,-0.13,0.01,-0.39
14:38:37:2240,-0.07,0.08,10.04,-0.19,-0.04,-0.45
14:38:37:2440,-0.07,0.09,10.02,-0.26,0.01,-0.42
14:38:37:2640,-0.06,0.11,10.04,-0.16,-0.06,-0.41
14:38:37:2840,-0.07,0.10,10.02,-0.26,-0.08,-0.39
14:38:37:3040,-0.06,0.10,10.03,-0.19,-0.22,-0.32
14:38:37:3240,-0.05,0.11,10.04,-0.30,-0.29,-0.35
14:38:37:3441,-0.08,0.11,10.00,-0.15,-0.16,-0.37
