Time,Ax,Ay,Az,Gx,Gy,Gz
12:19:43:4519,0.17,10.01,0.23,-0.17,-0.20,-0.39
12:19:43:4719,0.19,10.03,0.24,-0.12,0.04,-0.27
12:19:43:4919,0.18,10.02,0.20,-0.29,-0.15,-0.39
12:19:43:5119,0.19,10.03,0.22,-0.11,-0.03,-0.39
12:19:43:5319,0.17,10.02,0.21,-0.23,-0.09,-0.38
12:19:43:5520,0.17,10.03,0.21,-0.21,-0.17,-0.32
12:19:43:5719,0.18,10.05,0.21,-0.18,-0.33,-0.40
12:19:43:5920,0.17,10.02,0.23,-0.24,-0.16,-0.35
12:19:43:6119,0.16,10.00,0.20,-0.21,-0.23,-0.37
12:19:43:6320,0.16,10.02,0.23,-0.14,-0.15,-0.38
12:19:43:6520,0.15,10.02,0.22,-0.20,-0.09,-0.37
12:19:43:6720,0.16,10.02,0.20,-0.29,-0.19,-0.34
12:19:43:6920,0.17,10.04,0.22,-0.11,-0.20,-0.28
12:19:43:7120,0.16,10.04,0.21,-0.16,-0.05,-0.33
12:19:43:7320,0.17,10.04,0.22,-0.17,-0.12,-0.40
12:19:43:7520,0.17,10.04,0.19,-0.15,-0.16,-0.37
12:19:43:7720,0.18,10.03,0.24,-0.20,-0.13,-0.34
12:19:43:7921,0.17,10.02,0.24,-0.17,-0.12,-0.42
12:19:43:8120,0.17,10.02,0.21,-0.17,-0.14,-0.42
12:19:43:8320,0.17,10.01,0.19,-0.15,-0.05,-0.36
12:19:43:8520,0.17,10.03,0.23,-0.20,-0.07,-0.30
12:19:43:8720,0.16,10.02,0.24,-0.27,-0.26,-0.29
12:19:43:8920,0.18,10.02,0.24,-0.24,-0.09,-0.37
12:19:43:9120,0.16,10.02,0.24,-0.32,-0.36,-0.36
12:19:43:9320,0.16,10.03,0.24,-0.16,-0.04,-0.35
12:19:43:9520,0.17,10.02,0.21,-0.25,-0.10,-0.39
12:19:43:9720,0.17,10.04,0.22,-0.28,-0.20,-0.37
12:19:43:9920,0.17,10.03,0.22,-0.23,-0.12,-0.31
12:19:44:0120,0.18,10.02,0.22,-0.26,-0.20,-0.37
12:19:44:0320,0.16,10.01,0.22,-0.31,-0.15,-0.34
12:19:44:0521,0.16,10.03,0.22,-0.18,-0.09,-0.39
12:19:44:0720,0.16,10.01,0.19,-0.20,-0.28,-0.29
12:19:44:0920,0.17,10.01,0.26,-0.05,-0.17,-0.34
12:19:44:1120,0.16,10.02,0.27,-0.20,0.02,-0.33
12:19:44:1320,0.17,10.03,0.23,-0.16,-0.08,-0.33
12:19:44:1520,0.17,10.03,0.23,-0.10,-0.26,-0.38
12:19:44:1720,0.17,10.01,0.23,-0.22,-0.03,-0.29
12:19:44:1921,0.15,10.03,0.26,-0.21,-0.10,-0.44
12:19:44:2120,0.17,10.04,0.24,-0.11,-0.23,-0.34
12:19:44:2320,0.19,10.01,0.23,-0.24,-0.21,-0.38
