Time,Ax,Ay,Az,Gx,Gy,Gz
11:06:07:5377,9.85,0.26,1.00,-0.14,-0.06,-0.34
11:06:07:5577,9.83,0.26,1.02,-0.20,-0.10,-0.32
11:06:07:5777,9.83,0.24,1.02,-0.14,-0.10,-0.33
11:06:07:5977,9.83,0.25,1.03,-0.26,-0.17,-0.42
11:06:07:6178,9.84,0.25,1.02,-0.24,-0.14,-0.35
11:06:07:6377,9.84,0.25,1.03,-0.14,-0.06,-0.39
11:06:07:6577,9.84,0.26,1.01,-0.27,-0.19,-0.31
11:06:07:6778,9.83,0.23,1.01,-0.17,-0.05,-0.34
11:06:07:6977,9.82,0.26,1.03,-0.19,-0.20,-0.38
11:06:07:7178,9.84,0.25,1.00,-0.30,-0.28,-0.29
11:06:07:7378,9.81,0.24,1.04,-0.15,-0.09,-0.38
11:06:07:7578,9.85,0.25,1.01,-0.24,-0.19,-0.34
11:06:07:7778,9.82,0.25,1.05,-0.23,-0.24,-0.37
11:06:07:7978,9.83,0.26,1.03,-0.17,-0.20,-0.36
11:06:07:8178,9.83,0.24,1.02,-0.37,-0.25,-0.36
11:06:07:8378,9.81,0.25,1.05,-0.26,-0.19,-0.30
11:06:07:8578,9.82,0.25,1.03,-0.20,-0.13,-0.33
11:06:07:8778,9.81,0.26,1.03,-0.22,-0.14,-0.36
11:06:07:8978,9.81,0.27,1.05,-0.13,-0.07,-0.40
11:06:07:9178,9.81,0.26,1.02,-0.24,-0.05,-0.45
11:06:07:9378,9.83,0.25,1.04,-0.20,-0.15,-0.42
11:06:07:9578,9.83,0.29,1.03,-0.38,-0.20,-0.39
11:06:07:9778,9.81,0.27,1.01,-0.32,-0.21,-0.37
11:06:07:9978,9.83,0.26,1.04,-0.22,-0.28,-0.34
11:06:08:0178,9.81,0.24,1.05,-0.29,-0.09,-0.39
11:06:08:0378,9.83,0.25,1.02,-0.24,-0.18,-0.36
11:06:08:0578,9.82,0.25,1.01,-0.32,-0.32,-0.26
11:06:08:0778,9.82,0.28,1.04,-0.28,-0.15,-0.39
11:06:08:0978,9.85,0.26,1.04,-0.17,-0.11,-0.41
11:06:08:1179,9.82,0.25,1.00,-0.17,-0.12,-0.28
11:06:08:1378,9.83,0.29,1.02,-0.21,-0.20,-0.37
11:06:08:1578,9.83,0.25,1.02,-0.20,-0.11,-0.32
11:06:08:1778,9.82,0.26,1.03,-0.25,-0.21,-0.36
11:06:08:1978,9.83,0.27,1.03,-0.16,-0.17,-0.34
11:06:08:2178,9.83,0.27,1.03,-0.24,-0.06,-0.38
11:06:08:2378,9.84,0.24,1.01,-0.19,-0.26,-0.34
11:06:08:2578,9.83,0.25,1.02,-0.27,-0.20,-0.29
11:06:08:2778,9.82,0.26,1.02,-0.11,-0.12,-0.29
11:06:08:2978,9.83,0.25,1.01,-0.20,-0.10,-0.35
11:06:08:3179,9.85,0.26,1.03,-0.15,-0.23,-0.37
11:06:08:3379,9.80,0.28,1.02,-0.20,-0.15,-0.36
