Time,Ax,Ay,Az,Gx,Gy,Gz
16:19:09:9027,1.68,9.81,1.71,-0.40,-0.12,-0.43
16:19:09:9227,1.67,9.80,1.73,0.05,-0.03,-0.28
16:19:09:9427,1.66,9.82,1.80,0.24,-0.03,-0.19
16:19:09:9627,1.67,9.80,1.80,0.16,-0.25,-0.20
16:19:09:9827,1.65,9.80,1.79,-0.14,-0.12,-0.24
16:19:10:0028,1.65,9.79,1.77,-0.39,-0.25,-0.32
16:19:10:0227,1.67,9.82,1.77,-0.64,0.02,-0.50
16:19:10:0427,1.65,9.78,1.69,-0.60,0.00,-0.51
16:19:10:0627,1.71,9.84,1.73,-0.27,-0.03,-0.47
16:19:10:0827,1.67,9.80,1.76,0.07,-0.07,-0.20
16:19:10:1027,1.66,9.81,1.78,0.02,-0.19,-0.13
16:19:10:1227,1.65,9.80,1.82,-0.06,-0.26,-0.21
16:19:10:1427,1.65,9.79,1.80,-0.35,-0.18,-0.41
16:19:10:1627,1.67,9.80,1.77,-0.58,-0.17,-0.42
16:19:10:1827,1.67,9.80,1.77,-0.52,-0.21,-0.44
16:19:10:2027,1.65,9.80,1.75,-0.42,-0.10,-0.49
16:19:10:2227,1.67,9.80,1.76,-0.33,0.01,-0.40
16:19:10:2427,1.66,9.81,1.77,-0.38,-0.20,-0.28
16:19:10:2628,1.64,9.80,1.76,-0.20,-0.19,-0.31
16:19:10:2827,1.64,9.82,1.73,-0.11,-0.39,-0.47
16:19:10:3028,1.68,9.80,1.76,0.04,-0.48,-0.51
16:19:10:3227,1.71,9.80,1.79,0.19,-0.34,-0.41
16:19:10:3428,1.69,9.79,1.82,0.34,-0.23,-0.13
16:19:10:3628,1.65,9.78,1.81,0.21,-0.19,-0.08
16:19:10:3828,1.65,9.80,1.85,-0.21,-0.26,-0.25
16:19:10:4028,1.64,9.80,1.77,-0.63,-0.13,-0.39
16:19:10:4228,1.67,9.81,1.79,-1.04,-0.19,-0.69
16:19:10:4428,1.69,9.80,1.74,-0.87,0.04,-0.64
16:19:10:4628,1.70,9.82,1.72,-0.30,0.01,-0.41
16:19:10:4828,1.66,9.80,1.76,0.20,-0.24,-0.23
16:19:10:5029,1.67,9.81,1.82,0.31,-0.33,-0.16
16:19:10:5228,1.65,9.80,1.80,0.20,-0.24,-0.11
16:19:10:5428,1.66,9.77,1.80,-0.03,-0.12,-0.34
16:19:10:5628,1.64,9.79,1.77,-0.33,-0.23,-0.42
16:19:10:5828,1.65,9.78,1.74,-0.61,-0.07,-0.48
16:19:10:6028,1.67,9.79,1.75,-0.50,-0.06,-0.46
16:19:10:6228,1.65,9.83,1.72,-0.39,-0.06,-0.37
16:19:10:6428,1.63,9.77,1.72,-0.14,0.12,-0.03
16:19:10:6628,1.71,9.82,1.79,0.01,-0.24,-0.15
16:19:10:6828,1.69,9.80,1.82,-0.10,-0.03,-0.46
16:19:10:7029,1.66,9.81,1.78,-0.41,-0.12,-0.35
16:19:10:7228,1.63,9.80,1.75,-0.31,-0.17,-0.23
16:19:10:7429,1.69,9.80,1.78,-0.29,-0.02,-0.42
16:19:10:7629,1.67,9.79,1.76,-0.21,-0.08,-0.40
16:19:10:7829,1.67,9.82,1.73,-0.15,-0.06,-0.31
16:19:10:8029,1.66,9.80,1.78,0.02,0.05,-0.25
16:19:10:8229,1.68,9.80,1.79,-0.09,0.04,-0.43
16:19:10:8429,1.64,9.79,1.79,-0.22,-0.15,-0.34
16:19:10:8629,1.66,9.80,1.79,-0.37,-0.23,-0.36
16:19:10:8829,1.64,9.82,1.70,-0.30,-0.25,-0.47
16:19:10:9029,1.70,9.82,1.75,0.11,-0.33,-0.61
16:19:10:9229,1.72,9.84,1.79,0.58,-0.13,-0.38
16:19:10:9429,1.69,9.80,1.76,0.51,-0.02,-0.12
16:19:10:9629,1.64,9.76,1.80,0.34,-0.25,0.02
