Time,Ax,Ay,Az,Gx,Gy,Gz
16:30:56:0828,0.19,0.23,-9.51,-0.21,-0.09,-0.35
16:30:56:1028,0.18,0.22,-9.52,-0.20,-0.02,-0.40
16:30:56:1229,0.19,0.21,-9.49,-0.24,-0.13,-0.40
16:30:56:1428,0.19,0.20,-9.49,-0.29,-0.11,-0.34
16:30:56:1628,0.19,0.21,-9.52,-0.21,-0.09,-0.32
16:30:56:1828,0.18,0.25,-9.55,-0.33,-0.10,-0.33
16:30:56:2028,0.19,0.20,-9.52,-0.15,-0.09,-0.41
16:30:56:2228,0.19,0.24,-9.50,-0.14,0.01,-0.37
16:30:56:2428,0.19,0.23,-9.51,-0.22,-0.08,-0.36
16:30:56:2628,0.18,0.23,-9.53,-0.20,-0.12,-0.29
16:30:56:2828,0.19,0.24,-9.53,-0.33,-0.28,-0.43
16:30:56:3028,0.18,0.23,-9.51,-0.23,-0.05,-0.34
16:30:56:3228,0.19,0.20,-9.47,-0.19,-0.04,-0.35
16:30:56:3428,0.18,0.23,-9.51,-0.23,-0.09,-0.34
16:30:56:3629,0.19,0.23,-9.50,-0.17,-0.10,-0.35
16:30:56:3828,0.19,0.24,-9.48,-0.22,-0.08,-0.35
16:30:56:4028,0.19,0.22,-9.54,-0.15,0.04,-0.40
16:30:56:4228,0.19,0.21,-9.53,-0.20,-0.20,-0.36
16:30:56:4428,0.19,0.21,-9.49,-0.26,-0.14,-0.36
16:30:56:4628,0.18,0.25,-9.52,-0.19,-0.04,-0.32
16:30:56:4828,0.19,0.22,-9.49,-0.20,-0.08,-0.24
16:30:56:5028,0.19,0.24,-9.56,-0.19,-0.11,-0.33
16:30:56:5228,0.19,0.21,-9.53,-0.27,-0.16,-0.38
16:30:56:5427,0.19,0.25,-9.50,-0.19,-0.17,-0.36
16:30:56:5628,0.19,0.24,-9.50,-0.15,0.01,-0.34
16:30:56:5827,0.17,0.20,-9.55,-0.26,-0.14,-0.40
16:30:56:6027,0.19,0.21,-9.50,-0.19,-0.14,-0.36
16:30:56:6228,0.19,0.23,-9.49,-0.11,-0.05,-0.35
16:30:56:6427,0.18,0.22,-9.48,-0.20,0.01,-0.35
16:30:56:6627,0.20,0.23,-9.51,-0.16,-0.09,-0.35
16:30:56:6827,0.19,0.24,-9.51,-0.18,-0.08,-0.36
16:30:56:7027,0.20,0.24,-9.51,-0.22,0.10,-0.37
16:30:56:7227,0.19,0.23,-9.54,-0.21,-0.21,-0.32
16:30:56:7427,0.19,0.22,-9.50,-0.16,0.06,-0.41
16:30:56:7627,0.19,0.22,-9.53,-0.21,-0.07,-0.40
16:30:56:7828,0.17,0.23,-9.50,-0.24,-0.21,-0.31
16:30:56:8028,0.19,0.23,-9.49,-0.20,-0.14,-0.34
16:30:56:8228,0.19,0.23,-9.58,-0.22,-0.16,-0.35
16:30:56:8428,0.19,0.23,-9.51,-0.23,-0.22,-0.39
16:30:56:8629,0.19,0.22,-9.54,-0.26,-0.04,-0.35
16:30:56:8828,0.19,0.24,-9.52,-0.17,0.08,-0.36
16:30:56:9028,0.19,0.22,-9.49,-0.27,-0.21,-0.39
16:30:56:9228,0.19,0.24,-9.50,-0.18,-0.12,-0.32
16:30:56:9428,0.19,0.19,-9.49,-0.34,-0.33,-0.33
16:30:56:9628,0.19,0.24,-9.50,-0.22,-0.23,-0.34
16:30:56:9828,0.19,0.21,-9.51,-0.22,-0.20,-0.41
16:30:57:0028,0.18,0.22,-9.52,-0.26,-0.19,-0.39
16:30:57:0228,0.19,0.22,-9.51,-0.18,-0.02,-0.37
16:30:57:0428,0.19,0.23,-9.50,-0.15,-0.06,-0.32
16:30:57:0628,0.19,0.22,-9.50,-0.20,-0.06,-0.37
16:30:57:0828,0.19,0.22,-9.54,-0.20,-0.17,-0.31
16:30:57:1028,0.19,0.21,-9.51,-0.35,-0.13,-0.31
16:30:57:1228,0.19,0.24,-9.49,-0.22,-0.11,-0.32
16:30:57:1428,0.17,0.24,-9.52,-0.33,0.02,-0.39
16:30:57:1628,0.19,0.23,-9.51,-0.29,-0.17,-0.32
16:30:57:1827,0.19,0.22,-9.54,-0.32,-0.24,-0.35
16:30:57:2027,0.19,0.24,-9.50,-0.20,-0.01,-0.42
16:30:57:2227,0.19,0.20,-9.51,-0.17,-0.14,-0.27
16:30:57:2427,0.19,0.25,-9.54,-0.28,-0.20,-0.40
16:30:57:2627,0.19,0.22,-9.49,-0.29,-0.17,-0.37
16:30:57:2827,0.19,0.23,-9.54,-0.18,0.02,-0.35
16:30:57:3027,0.19,0.22,-9.52,-0.26,-0.01,-0.37
16:30:57:3227,0.19,0.22,-9.49,-0.34,-0.12,-0.27
16:30:57:3427,0.19,0.21,-9.49,-0.11,0.05,-0.36
16:30:57:3628,0.19,0.23,-9.50,-0.20,-0.08,-0.42
16:30:57:3827,0.19,0.23,-9.52,-0.17,0.01,-0.32
16:30:57:4027,0.19,0.24,-9.45,-0.15,-0.14,-0.35
16:30:57:4227,0.20,0.22,-9.54,-0.24,-0.22,-0.38
16:30:57:4427,0.18,0.20,-9.50,-0.23,-0.24,-0.31
16:30:57:4627,0.21,0.22,-9.52,-0.20,-0.17,-0.40
16:30:57:4827,0.19,0.23,-9.52,-0.18,-0.04,-0.31
16:30:57:5027,0.19,0.23,-9.52,-0.30,-0.16,-0.38
16:30:57:5227,0.20,0.24,-9.55,-0.21,-0.17,-0.36
16:30:57:5427,0.17,0.21,-9.48,-0.20,-0.10,-0.36
16:30:57:5627,0.19,0.22,-9.55,-0.23,-0.14,-0.32
16:30:57:5827,0.19,0.24,-9.54,-0.37,-0.23,-0.31
16:30:57:6027,0.19,0.23,-9.48,-0.32,-0.16,-0.42
16:30:57:6227,0.19,0.24,-9.53,-0.29,-0.16,-0.34
16:30:57:6427,0.19,0.22,-9.48,-0.30,-0.10,-0.36
16:30:57:6627,0.18,0.25,-9.53,-0.16,-0.09,-0.39
16:30:57:6827,0.19,0.23,-9.50,-0.18,-0.08,-0.42
16:30:57:7027,0.19,0.21,-9.47,-0.17,-0.09,-0.42
16:30:57:7227,0.19,0.23,-9.52,-0.28,-0.03,-0.44
16:30:57:7427,0.19,0.23,-9.48,-0.26,-0.16,-0.36
16:30:57:7627,0.19,0.23,-9.51,-0.36,-0.14,-0.37
16:30:57:7828,0.19,0.23,-9.51,-0.20,-0.21,-0.32
16:30:57:8027,0.18,0.23,-9.50,-0.19,-0.19,-0.37
16:30:57:8227,0.19,0.23,-9.52,-0.29,-0.24,-0.38
16:30:57:8427,0.19,0.24,-9.49,-0.19,-0.21,-0.38
16:30:57:8628,0.18,0.23,-9.50,-0.22,-0.09,-0.37
16:30:57:8827,0.19,0.24,-9.50,-0.25,-0.01,-0.36
16:30:57:9027,0.19,0.21,-9.50,-0.17,-0.07,-0.38
16:30:57:9227,0.19,0.22,-9.53,-0.21,-0.03,-0.30
16:30:57:9427,0.19,0.21,-9.51,-0.17,-0.10,-0.33
16:30:57:9627,0.19,0.22,-9.48,-0.29,-0.11,-0.32
16:30:57:9827,0.19,0.22,-9.52,-0.23,-0.09,-0.36
16:30:58:0027,0.19,0.22,-9.48,-0.18,-0.03,-0.38
16:30:58:0227,0.19,0.22,-9.49,-0.19,-0.07,-0.39
16:30:58:0427,0.19,0.23,-9.50,-0.17,-0.01,-0.42
16:30:58:0627,0.18,0.23,-9.48,-0.32,-0.29,-0.29
16:30:58:0827,0.18,0.21,-9.52,-0.24,-0.06,-0.37
16:30:58:1027,0.19,0.23,-9.51,-0.34,-0.30,-0.30
16:30:58:1227,0.21,0.24,-9.54,-0.17,-0.02,-0.33
16:30:58:1427,0.19,0.22,-9.53,-0.20,-0.14,-0.31
16:30:58:1627,0.19,0.26,-9.52,-0.23,-0.18,-0.40
16:30:58:1827,0.18,0.22,-9.54,-0.28,-0.26,-0.35
16:30:58:2027,0.19,0.22,-9.51,-0.20,-0.14,-0.36
16:30:58:2227,0.19,0.25,-9.54,-0.25,-0.14,-0.36
16:30:58:2427,0.17,0.23,-9.51,-0.17,0.07,-0.43
16:30:58:2627,0.19,0.24,-9.57,-0.26,-0.27,-0.42
16:30:58:2827,0.18,0.22,-9.53,-0.30,-0.09,-0.32
16:30:58:3027,0.19,0.23,-9.51,-0.17,-0.08,-0.28
16:30:58:3227,0.19,0.24,-9.48,-0.20,-0.18,-0.28
16:30:58:3427,0.19,0.22,-9.49,-0.27,-0.15,-0.43
16:30:58:3628,0.19,0.22,-9.50,-0.32,-0.09,-0.31
16:30:58:3827,0.19,0.22,-9.48,-0.16,-0.07,-0.37
16:30:58:4027,0.19,0.25,-9.52,-0.24,-0.01,-0.32
16:30:58:4226,0.19,0.23,-9.54,-0.25,-0.19,-0.36
16:30:58:4426,0.19,0.24,-9.51,-0.36,-0.17,-0.41
16:30:58:4626,0.19,0.23,-9.53,-0.20,-0.06,-0.22
16:30:58:4826,0.19,0.21,-9.50,-0.30,-0.14,-0.37
16:30:58:5026,0.19,0.23,-9.52,-0.19,-0.16,-0.43
16:30:58:5226,0.19,0.24,-9.52,-0.26,-0.20,-0.32
16:30:58:5426,0.19,0.23,-9.48,-0.22,0.03,-0.39
16:30:58:5626,0.19,0.22,-9.50,-0.21,-0.17,-0.40
16:30:58:5826,0.19,0.21,-9.50,-0.23,-0.15,-0.33
16:30:58:6026,0.19,0.21,-9.51,-0.24,-0.14,-0.31
16:30:58:6227,0.19,0.21,-9.53,-0.24,-0.12,-0.32
16:30:58:6426,0.20,0.22,-9.53,-0.19,-0.18,-0.41
16:30:58:6626,0.19,0.22,-9.51,-0.26,-0.23,-0.37
16:30:58:6826,0.19,0.23,-9.50,-0.12,-0.16,-0.38
16:30:58:7026,0.19,0.23,-9.49,-0.31,-0.23,-0.34
16:30:58:7226,0.19,0.22,-9.49,-0.28,-0.16,-0.30
16:30:58:7426,0.19,0.24,-9.49,-0.22,0.06,-0.37
16:30:58:7626,0.19,0.24,-9.51,-0.31,0.06,-0.34
16:30:58:7827,0.19,0.22,-9.49,-0.17,-0.07,-0.33
16:30:58:8027,0.19,0.22,-9.53,-0.31,-0.14,-0.38
16:30:58:8227,0.19,0.23,-9.53,-0.22,-0.07,-0.34
16:30:58:8427,0.19,0.22,-9.50,-0.28,-0.17,-0.26
16:30:58:8628,0.19,0.23,-9.52,-0.23,0.03,-0.40
16:30:58:8827,0.19,0.25,-9.50,-0.29,-0.13,-0.37
16:30:58:9027,0.19,0.21,-9.54,-0.20,0.00,-0.32
