Time,Ax,Ay,Az,Gx,Gy,Gz
16:39:14:4525,0.02,-9.65,0.33,-0.30,-0.05,-0.28
16:39:14:4725,-0.00,-9.66,0.35,-0.20,-0.09,-0.43
16:39:14:4926,0.03,-9.63,0.37,-0.17,-0.08,-0.37
16:39:14:5125,-0.00,-9.64,0.30,-0.20,-0.20,-0.36
16:39:14:5325,-0.00,-9.65,0.33,-0.20,-0.20,-0.27
16:39:14:5525,-0.00,-9.67,0.36,-0.17,-0.26,-0.37
16:39:14:5726,-0.00,-9.63,0.32,-0.20,-0.11,-0.32
16:39:14:5925,-0.00,-9.65,0.36,-0.28,-0.23,-0.32
16:39:14:6126,-0.00,-9.61,0.32,-0.21,-0.17,-0.34
16:39:14:6326,-0.03,-9.64,0.36,-0.28,-0.16,-0.41
16:39:14:6526,-0.00,-9.66,0.31,-0.20,-0.20,-0.32
16:39:14:6726,-0.00,-9.66,0.35,-0.16,-0.20,-0.32
16:39:14:6927,-0.00,-9.64,0.33,-0.17,-0.21,-0.35
16:39:14:7127,-0.00,-9.65,0.31,-0.18,-0.17,-0.40
16:39:14:7328,-0.00,-9.64,0.38,-0.17,-0.09,-0.34
16:39:14:7527,-0.00,-9.66,0.39,-0.18,-0.25,-0.39
16:39:14:7727,-0.00,-9.62,0.33,-0.09,0.04,-0.36
16:39:14:7927,-0.00,-9.64,0.32,-0.23,-0.20,-0.37
16:39:14:8127,-0.00,-9.64,0.36,-0.14,-0.03,-0.40
16:39:14:8327,-0.00,-9.63,0.38,-0.14,-0.17,-0.40
16:39:14:8527,-0.00,-9.64,0.34,-0.20,-0.23,-0.39
16:39:14:8727,-0.00,-9.65,0.30,-0.20,-0.13,-0.46
16:39:14:8927,-0.00,-9.63,0.33,-0.21,0.02,-0.35
16:39:14:9127,-0.00,-9.67,0.38,-0.20,-0.21,-0.41
16:39:14:9327,-0.00,-9.65,0.36,-0.09,-0.06,-0.41
16:39:14:9527,-0.00,-9.66,0.33,-0.14,-0.07,-0.41
16:39:14:9727,-0.00,-9.63,0.35,-0.28,-0.17,-0.36
16:39:14:9927,-0.00,-9.62,0.36,-0.15,-0.15,-0.30
16:39:15:0127,-0.00,-9.62,0.33,-0.20,-0.12,-0.29
16:39:15:0327,-0.00,-9.66,0.38,-0.17,-0.17,-0.28
16:39:15:0527,-0.00,-9.63,0.36,-0.14,-0.06,-0.28
16:39:15:0727,0.01,-9.66,0.35,-0.08,-0.12,-0.32
16:39:15:0927,0.01,-9.64,0.34,-0.16,-0.09,-0.34
16:39:15:1127,-0.00,-9.68,0.37,-0.19,-0.02,-0.37
16:39:15:1327,-0.01,-9.64,0.35,-0.19,-0.11,-0.38
16:39:15:1527,0.01,-9.67,0.34,-0.14,-0.06,-0.34
16:39:15:1727,-0.00,-9.64,0.37,-0.16,-0.14,-0.36
16:39:15:1927,-0.00,-9.66,0.35,-0.11,-0.09,-0.36
16:39:15:2127,-0.00,-9.63,0.31,-0.20,-0.17,-0.34
16:39:15:2328,-0.01,-9.65,0.30,-0.20,-0.20,-0.40
16:39:15:2527,-0.00,-9.65,0.36,-0.24,-0.17,-0.39
16:39:15:2727,-0.00,-9.64,0.39,-0.18,-0.15,-0.34
16:39:15:2927,-0.00,-9.66,0.34,-0.15,-0.14,-0.36
16:39:15:3127,-0.01,-9.66,0.33,-0.24,-0.19,-0.30
16:39:15:3328,-0.00,-9.65,0.33,-0.19,-0.20,-0.35
16:39:15:3527,-0.00,-9.63,0.35,-0.18,-0.18,-0.33
16:39:15:3728,-0.00,-9.65,0.38,-0.20,-0.14,-0.50
16:39:15:3928,-0.00,-9.66,0.35,-0.15,-0.25,-0.36
16:39:15:4128,-0.00,-9.64,0.32,-0.13,-0.15,-0.41
16:39:15:4328,-0.00,-9.65,0.32,-0.16,-0.18,-0.32
16:39:15:4528,-0.00,-9.64,0.35,-0.25,-0.17,-0.34
16:39:15:4728,0.02,-9.67,0.33,-0.14,-0.15,-0.39
16:39:15:4928,-0.01,-9.63,0.36,-0.13,0.00,-0.36
16:39:15:5128,-0.00,-9.63,0.34,-0.26,-0.20,-0.37
16:39:15:5328,-0.00,-9.63,0.35,-0.11,-0.17,-0.37
16:39:15:5528,-0.00,-9.67,0.33,-0.26,-0.19,-0.42
16:39:15:5728,0.01,-9.64,0.36,-0.12,-0.05,-0.28
16:39:15:5928,-0.00,-9.64,0.38,-0.11,-0.14,-0.42
16:39:15:6129,-0.00,-9.64,0.36,-0.23,-0.16,-0.37
16:39:15:6329,-0.00,-9.65,0.34,-0.20,-0.19,-0.34
16:39:15:6529,-0.00,-9.66,0.34,-0.18,-0.10,-0.38
16:39:15:6729,-0.00,-9.65,0.34,-0.23,-0.08,-0.36
16:39:15:6929,-0.00,-9.64,0.35,-0.29,-0.25,-0.34
16:39:15:7129,-0.00,-9.64,0.36,-0.23,-0.15,-0.32
16:39:15:7330,-0.00,-9.66,0.31,-0.06,-0.19,-0.34
16:39:15:7529,-0.00,-9.63,0.33,-0.20,0.00,-0.33
16:39:15:7730,-0.00,-9.64,0.34,-0.20,-0.17,-0.32
16:39:15:7929,-0.00,-9.63,0.33,-0.19,-0.11,-0.39
16:39:15:8129,-0.00,-9.64,0.34,-0.17,-0.18,-0.45
16:39:15:8329,-0.00,-9.65,0.36,-0.09,-0.07,-0.33
16:39:15:8529,-0.00,-9.64,0.34,-0.12,-0.26,-0.33
16:39:15:8729,-0.00,-9.64,0.36,-0.22,-0.24,-0.31
16:39:15:8929,-0.01,-9.64,0.32,-0.09,-0.12,-0.36
16:39:15:9129,-0.00,-9.65,0.34,-0.25,-0.11,-0.34
16:39:15:9330,-0.00,-9.63,0.36,-0.17,-0.10,-0.30
16:39:15:9529,-0.00,-9.63,0.34,-0.16,-0.19,-0.35
16:39:15:9730,-0.00,-9.65,0.33,-0.13,-0.12,-0.32
16:39:15:9930,0.01,-9.63,0.37,-0.20,-0.22,-0.31
16:39:16:0129,-0.00,-9.65,0.33,-0.15,-0.17,-0.40
16:39:16:0329,-0.01,-9.65,0.38,-0.08,0.09,-0.40
16:39:16:0530,-0.00,-9.65,0.35,-0.22,-0.21,-0.31
16:39:16:0730,-0.00,-9.66,0.35,-0.13,-0.14,-0.35
16:39:16:0930,-0.00,-9.67,0.36,-0.26,-0.22,-0.32
16:39:16:1130,-0.00,-9.63,0.33,-0.15,-0.01,-0.41
16:39:16:1330,-0.01,-9.64,0.35,-0.17,-0.17,-0.32
16:39:16:1530,-0.00,-9.64,0.34,-0.11,-0.09,-0.37
16:39:16:1730,-0.00,-9.66,0.32,-0.20,-0.21,-0.32
16:39:16:1930,-0.00,-9.64,0.36,-0.20,-0.16,-0.33
16:39:16:2130,-0.00,-9.67,0.34,-0.22,-0.20,-0.29
16:39:16:2330,-0.00,-9.64,0.35,-0.07,-0.16,-0.36
16:39:16:2530,-0.00,-9.67,0.35,-0.17,-0.16,-0.39
16:39:16:2730,-0.00,-9.62,0.33,-0.24,-0.20,-0.35
16:39:16:2930,-0.00,-9.65,0.34,-0.19,-0.18,-0.34
16:39:16:3130,-0.00,-9.67,0.36,-0.16,-0.05,-0.37
16:39:16:3330,-0.00,-9.65,0.33,-0.11,0.10,-0.42
16:39:16:3530,-0.00,-9.65,0.34,-0.21,-0.17,-0.38
16:39:16:3730,-0.00,-9.65,0.36,-0.20,-0.22,-0.34
16:39:16:3930,-0.00,-9.63,0.35,-0.05,-0.04,-0.33
16:39:16:4130,-0.00,-9.65,0.35,-0.19,-0.02,-0.33
16:39:16:4330,0.01,-9.63,0.34,-0.23,-0.26,-0.33
16:39:16:4530,-0.00,-9.65,0.37,-0.20,-0.22,-0.34
16:39:16:4730,0.01,-9.64,0.36,-0.15,-0.10,-0.42
16:39:16:4931,-0.00,-9.64,0.32,-0.15,-0.11,-0.29
16:39:16:5130,-0.00,-9.65,0.33,-0.20,-0.07,-0.39
16:39:16:5330,-0.00,-9.65,0.35,-0.20,-0.12,-0.32
16:39:16:5530,-0.00,-9.65,0.34,-0.17,-0.03,-0.33
16:39:16:5730,-0.01,-9.65,0.35,-0.16,-0.12,-0.40
16:39:16:5930,-0.00,-9.63,0.32,-0.22,-0.19,-0.32
16:39:16:6131,0.01,-9.66,0.33,-0.16,-0.09,-0.36
16:39:16:6331,-0.00,-9.65,0.32,-0.12,-0.03,-0.33
16:39:16:6531,-0.00,-9.67,0.35,-0.06,-0.02,-0.32
16:39:16:6731,0.01,-9.63,0.35,-0.11,-0.06,-0.34
16:39:16:6931,-0.00,-9.65,0.35,-0.10,-0.05,-0.36
16:39:16:7131,-0.01,-9.68,0.33,-0.22,-0.22,-0.35
16:39:16:7332,-0.00,-9.66,0.35,-0.21,-0.17,-0.33
16:39:16:7532,-0.00,-9.62,0.34,-0.11,-0.04,-0.31
16:39:16:7732,0.02,-9.64,0.37,-0.20,-0.21,-0.34
16:39:16:7932,-0.00,-9.63,0.35,-0.22,-0.21,-0.34
16:39:16:8132,-0.00,-9.66,0.33,-0.09,-0.15,-0.31
16:39:16:8332,-0.01,-9.64,0.34,-0.22,-0.24,-0.34
16:39:16:8532,-0.00,-9.64,0.35,-0.29,-0.29,-0.28
16:39:16:8732,-0.00,-9.63,0.39,-0.25,-0.14,-0.32
16:39:16:8932,-0.00,-9.68,0.34,-0.17,-0.25,-0.37
16:39:16:9132,0.02,-9.64,0.31,-0.21,-0.21,-0.42
16:39:16:9332,-0.00,-9.62,0.39,-0.26,-0.13,-0.37
16:39:16:9532,-0.00,-9.65,0.37,-0.16,-0.08,-0.40
16:39:16:9732,-0.01,-9.65,0.36,-0.04,-0.09,-0.29
16:39:16:9932,-0.00,-9.66,0.35,-0.16,-0.11,-0.42
16:39:17:0132,0.02,-9.66,0.34,-0.29,-0.26,-0.36
16:39:17:0332,-0.00,-9.66,0.36,-0.23,-0.22,-0.37
16:39:17:0532,-0.00,-9.67,0.34,-0.20,-0.32,-0.36
16:39:17:0732,-0.00,-9.60,0.32,-0.18,-0.08,-0.40
16:39:17:0932,-0.00,-9.64,0.34,-0.24,-0.28,-0.33
16:39:17:1132,-0.00,-9.66,0.39,-0.24,-0.16,-0.28
16:39:17:1332,-0.00,-9.63,0.34,-0.16,-0.08,-0.40
16:39:17:1532,-0.00,-9.66,0.35,-0.20,-0.20,-0.33
16:39:17:1732,-0.00,-9.64,0.34,-0.23,-0.04,-0.40
16:39:17:1932,-0.00,-9.68,0.38,-0.12,-0.01,-0.35
16:39:17:2132,-0.01,-9.63,0.37,-0.12,0.10,-0.38
16:39:17:2333,-0.00,-9.66,0.35,-0.20,-0.17,-0.30
16:39:17:2532,0.01,-9.66,0.35,-0.14,-0.11,-0.35
16:39:17:2732,-0.00,-9.65,0.37,-0.16,0.00,-0.36
16:39:17:2932,-0.00,-9.64,0.34,-0.13,-0.10,-0.42
16:39:17:3132,-0.00,-9.65,0.36,-0.10,0.07,-0.37
16:39:17:3333,0.02,-9.64,0.34,-0.27,-0.13,-0.31
16:39:17:3532,0.01,-9.65,0.36,-0.12,-0.20,-0.37
16:39:17:3733,-0.00,-9.62,0.38,-0.17,-0.25,-0.34
16:39:17:3932,-0.00,-9.64,0.33,-0.19,-0.10,-0.36
16:39:17:4132,-0.00,-9.64,0.32,-0.19,-0.04,-0.42
16:39:17:4333,-0.00,-9.62,0.36,-0.19,-0.06,-0.39
16:39:17:4533,-0.00,-9.63,0.35,-0.21,-0.18,-0.32
16:39:17:4733,-0.00,-9.66,0.33,-0.15,-0.11,-0.29
16:39:17:4933,-0.00,-9.64,0.35,-0.26,-0.17,-0.31
16:39:17:5133,-0.00,-9.65,0.36,-0.20,-0.20,-0.35
16:39:17:5333,-0.00,-9.65,0.33,-0.21,-0.28,-0.32
16:39:17:5533,-0.00,-9.64,0.35,-0.13,-0.20,-0.27
16:39:17:5733,-0.01,-9.65,0.32,-0.28,-0.11,-0.37
16:39:17:5933,-0.00,-9.64,0.37,-0.08,-0.19,-0.42
16:39:17:6134,-0.01,-9.66,0.36,-0.16,-0.23,-0.39
16:39:17:6334,-0.00,-9.67,0.33,-0.09,-0.08,-0.36
16:39:17:6534,-0.00,-9.66,0.30,-0.17,-0.16,-0.39
16:39:17:6734,-0.00,-9.65,0.37,-0.15,-0.20,-0.31
16:39:17:6934,-0.00,-9.63,0.33,-0.27,-0.17,-0.39
16:39:17:7134,-0.00,-9.67,0.34,-0.20,-0.21,-0.29
16:39:17:7335,0.01,-9.63,0.35,-0.24,-0.07,-0.38
16:39:17:7535,-0.01,-9.64,0.36,-0.23,-0.19,-0.28
16:39:17:7734,-0.00,-9.67,0.37,-0.23,-0.03,-0.41
16:39:17:7934,-0.00,-9.66,0.36,-0.12,-0.24,-0.29
16:39:17:8134,0.02,-9.63,0.34,-0.16,-0.12,-0.41
16:39:17:8334,-0.00,-9.67,0.37,-0.20,-0.20,-0.37
16:39:17:8534,-0.01,-9.64,0.37,-0.11,-0.14,-0.36
16:39:17:8734,-0.00,-9.66,0.37,-0.20,-0.19,-0.39
16:39:17:8934,-0.00,-9.62,0.36,-0.22,-0.16,-0.37
16:39:17:9134,0.01,-9.64,0.34,-0.14,-0.08,-0.38
16:39:17:9334,-0.00,-9.65,0.35,-0.20,-0.23,-0.37
16:39:17:9534,-0.00,-9.66,0.36,-0.09,0.00,-0.34
16:39:17:9734,-0.00,-9.65,0.36,-0.13,-0.11,-0.47
16:39:17:9935,-0.00,-9.66,0.36,-0.32,-0.28,-0.33
16:39:18:0134,-0.00,-9.63,0.35,-0.11,-0.16,-0.42
16:39:18:0334,-0.00,-9.66,0.37,-0.26,-0.25,-0.31
16:39:18:0534,-0.00,-9.64,0.37,-0.19,-0.02,-0.39
16:39:18:0734,-0.00,-9.66,0.34,-0.20,-0.20,-0.35
16:39:18:0934,-0.00,-9.66,0.34,-0.21,-0.19,-0.35
16:39:18:1134,-0.00,-9.66,0.35,-0.20,-0.23,-0.32
16:39:18:1335,0.01,-9.63,0.34,-0.20,-0.14,-0.30
16:39:18:1535,-0.00,-9.64,0.34,-0.21,-0.31,-0.30
16:39:18:1735,-0.00,-9.62,0.33,-0.13,-0.16,-0.31
16:39:18:1935,-0.00,-9.67,0.34,-0.25,-0.17,-0.38
16:39:18:2135,-0.00,-9.64,0.36,-0.16,-0.12,-0.31
16:39:18:2335,-0.00,-9.66,0.34,-0.12,-0.12,-0.27
16:39:18:2535,-0.00,-9.64,0.35,-0.18,-0.17,-0.37
16:39:18:2735,0.02,-9.67,0.35,-0.19,-0.16,-0.35
16:39:18:2935,-0.00,-9.65,0.35,-0.20,-0.08,-0.36
16:39:18:3135,-0.01,-9.64,0.33,-0.14,-0.16,-0.32
16:39:18:3335,0.01,-9.64,0.34,-0.28,-0.17,-0.35
16:39:18:3535,-0.00,-9.65,0.35,-0.23,-0.19,-0.31
16:39:18:3735,-0.00,-9.63,0.35,-0.31,-0.31,-0.37
16:39:18:3935,0.01,-9.64,0.34,-0.07,-0.16,-0.35
16:39:18:4135,-0.00,-9.66,0.33,-0.24,-0.16,-0.36
16:39:18:4335,-0.00,-9.67,0.35,-0.22,-0.16,-0.34
16:39:18:4535,-0.00,-9.64,0.36,-0.30,-0.27,-0.39
16:39:18:4735,-0.00,-9.64,0.37,-0.11,-0.22,-0.39
16:39:18:4935,0.01,-9.66,0.33,-0.03,-0.08,-0.41
