Time,Ax,Ay,Az,Gx,Gy,Gz
17:33:04:8629,-0.91,-9.15,2.90,-0.12,0.02,-0.39
17:33:04:8829,-0.89,-9.17,2.86,0.05,0.11,-0.29
17:33:04:9030,-0.88,-9.18,2.87,0.15,-0.07,-0.47
17:33:04:9229,-0.89,-9.17,2.90,-0.11,-0.26,-0.37
17:33:04:9429,-0.90,-9.17,2.94,-0.41,-0.32,-0.30
17:33:04:9629,-0.91,-9.17,2.88,-0.28,0.02,-0.34
17:33:04:9830,-0.91,-9.14,2.87,-0.19,-0.05,-0.44
17:33:05:0029,-0.89,-9.17,2.90,-0.31,0.05,-0.29
17:33:05:0229,-0.89,-9.17,2.90,-0.23,-0.04,-0.28
17:33:05:0429,-0.90,-9.16,2.87,-0.01,0.07,-0.41
17:33:05:0629,-0.88,-9.18,2.90,0.00,-0.03,-0.40
17:33:05:0829,-0.90,-9.16,2.91,-0.24,-0.21,-0.35
17:33:05:1029,-0.92,-9.17,2.87,-0.17,0.07,-0.38
17:33:05:1230,-0.91,-9.17,2.83,-0.20,-0.10,-0.33
17:33:05:1431,-0.88,-9.14,2.90,-0.35,-0.37,-0.35
17:33:05:1630,-0.88,-9.16,2.94,-0.28,-0.35,-0.23
17:33:05:1830,-0.88,-9.16,2.89,0.04,0.12,-0.42
17:33:05:2030,-0.90,-9.17,2.88,0.18,0.51,-0.36
17:33:05:2230,-0.92,-9.17,2.84,0.02,0.31,-0.25
17:33:05:2430,-0.90,-9.17,2.84,0.00,0.11,-0.34
17:33:05:2630,-0.92,-9.17,2.87,-0.48,-0.10,-0.31
17:33:05:2830,-0.86,-9.17,2.93,-0.45,-0.07,-0.23
17:33:05:3030,-0.90,-9.16,2.92,-0.22,0.25,-0.34
17:33:05:3230,-0.91,-9.17,2.85,-0.10,0.26,-0.34
17:33:05:3430,-0.91,-9.17,2.85,0.13,0.15,-0.34
17:33:05:3630,-0.89,-9.17,2.89,0.01,-0.27,-0.31
17:33:05:3830,-0.89,-9.17,2.89,-0.01,-0.20,-0.37
17:33:05:4030,-0.88,-9.16,2.84,-0.11,-0.13,-0.45
17:33:05:4230,-0.92,-9.15,2.91,-0.45,-0.18,-0.35
17:33:05:4430,-0.91,-9.18,2.87,-0.36,-0.20,-0.34
17:33:05:4630,-0.92,-9.16,2.87,-0.29,-0.13,-0.44
17:33:05:4830,-0.90,-9.16,2.85,-0.48,-0.31,-0.41
17:33:05:5030,-0.88,-9.17,2.94,-0.58,-0.20,-0.34
17:33:05:5230,-0.90,-9.13,2.89,-0.36,0.05,-0.24
17:33:05:5430,-0.91,-9.18,2.87,-0.04,-0.01,-0.38
