Time,Ax,Ay,Az,Gx,Gy,Gz
16:22:45:4247,1.85,9.84,-0.47,-0.63,-0.01,-0.31
16:22:45:4447,1.87,9.83,-0.49,-0.72,0.00,-0.41
16:22:45:4647,1.83,9.85,-0.51,-0.61,0.04,-0.26
16:22:45:4847,1.83,9.86,-0.53,-0.36,-0.04,-0.33
16:22:45:5047,1.83,9.85,-0.51,0.23,-0.29,-0.44
16:22:45:5248,1.85,9.86,-0.49,0.48,-0.49,-0.42
16:22:45:5449,1.85,9.86,-0.46,0.58,-0.62,-0.31
16:22:45:5648,1.84,9.83,-0.41,0.49,-0.35,-0.47
16:22:45:5848,1.84,9.87,-0.42,-0.04,-0.24,-0.27
16:22:45:6048,1.83,9.86,-0.43,-0.55,-0.03,-0.35
16:22:45:6248,1.83,9.85,-0.51,-0.90,0.15,-0.29
16:22:45:6448,1.82,9.83,-0.50,-0.64,0.04,-0.34
16:22:45:6649,1.85,9.85,-0.50,-0.37,-0.20,-0.35
16:22:45:6849,1.84,9.84,-0.50,-0.13,-0.12,-0.35
16:22:45:7049,1.82,9.86,-0.49,0.22,-0.37,-0.38
16:22:45:7249,1.85,9.85,-0.49,0.41,-0.19,-0.39
16:22:45:7449,1.85,9.89,-0.43,0.18,-0.33,-0.39
16:22:45:7649,1.85,9.84,-0.46,-0.13,-0.09,-0.37
16:22:45:7849,1.83,9.88,-0.49,-0.44,0.16,-0.33
16:22:45:8049,1.84,9.86,-0.50,-0.51,0.03,-0.39
16:22:45:8249,1.84,9.85,-0.50,-0.29,-0.07,-0.32
16:22:45:8449,1.85,9.86,-0.48,-0.30,-0.15,-0.30
16:22:45:8649,1.86,9.86,-0.50,-0.09,0.07,-0.34
16:22:45:8849,1.83,9.83,-0.49,-0.01,-0.11,-0.33
16:22:45:9049,1.83,9.87,-0.49,0.09,-0.23,-0.38
16:22:45:9249,1.84,9.83,-0.44,-0.07,-0.49,-0.37
16:22:45:9449,1.84,9.87,-0.41,-0.49,-0.08,-0.30
16:22:45:9649,1.82,9.86,-0.49,-0.82,0.17,-0.38
16:22:45:9849,1.86,9.87,-0.50,-0.84,0.00,-0.39
16:22:46:0049,1.83,9.85,-0.47,-0.50,-0.14,-0.36
16:22:46:0250,1.83,9.85,-0.52,-0.45,0.12,-0.24
16:22:46:0449,1.82,9.83,-0.50,-0.20,0.00,-0.39
16:22:46:0649,1.86,9.86,-0.50,0.24,-0.38,-0.47
16:22:46:0849,1.84,9.84,-0.47,0.49,-0.42,-0.41
16:22:46:1049,1.84,9.88,-0.44,0.30,-0.34,-0.41
16:22:46:1249,1.82,9.81,-0.40,-0.21,-0.22,-0.35
16:22:46:1449,1.86,9.86,-0.47,-0.78,0.06,-0.44
16:22:46:1649,1.85,9.85,-0.49,-0.94,-0.06,-0.35
16:22:46:1849,1.83,9.85,-0.52,-0.87,-0.01,-0.24
16:22:46:2049,1.82,9.84,-0.53,-0.39,-0.09,-0.32
16:22:46:2249,1.84,9.87,-0.55,0.08,-0.01,-0.48
16:22:46:2449,1.85,9.84,-0.48,0.41,-0.29,-0.55
16:22:46:2649,1.85,9.86,-0.45,0.42,-0.37,-0.33
16:22:46:2850,1.84,9.86,-0.45,0.02,-0.20,-0.37
16:22:46:3049,1.87,9.85,-0.47,-0.29,-0.02,-0.41
16:22:46:3249,1.84,9.87,-0.45,-0.44,0.00,-0.36
16:22:46:3449,1.82,9.85,-0.49,-0.36,0.07,-0.30
16:22:46:3649,1.82,9.85,-0.49,-0.37,0.24,-0.33
16:22:46:3849,1.86,9.85,-0.54,-0.20,0.10,-0.45
16:22:46:4049,1.82,9.82,-0.48,0.12,-0.18,-0.35
16:22:46:4249,1.84,9.84,-0.49,0.39,-0.35,-0.34
16:22:46:4449,1.84,9.86,-0.45,0.18,-0.43,-0.31
16:22:46:4649,1.84,9.86,-0.44,-0.32,-0.05,-0.32
16:22:46:4849,1.83,9.85,-0.49,-0.68,-0.19,-0.41
16:22:46:5049,1.84,9.87,-0.51,-0.68,0.10,-0.36
16:22:46:5250,1.83,9.84,-0.51,-0.58,0.07,-0.40
16:22:46:5450,1.85,9.86,-0.49,-0.42,-0.04,-0.34
16:22:46:5650,1.83,9.84,-0.49,-0.33,-0.03,-0.34
16:22:46:5850,1.84,9.84,-0.53,-0.30,-0.10,-0.35
16:22:46:6050,1.84,9.85,-0.50,0.21,-0.34,-0.39
16:22:46:6250,1.83,9.87,-0.49,0.20,-0.29,-0.37
16:22:46:6450,1.82,9.85,-0.46,0.12,-0.48,-0.38
16:22:46:6650,1.85,9.86,-0.42,-0.03,-0.37,-0.48
16:22:46:6850,1.85,9.83,-0.46,-0.55,-0.13,-0.39
16:22:46:7050,1.84,9.84,-0.49,-0.69,-0.20,-0.22
16:22:46:7250,1.82,9.85,-0.48,-0.63,-0.12,-0.24
16:22:46:7450,1.83,9.87,-0.53,-0.45,0.11,-0.49
16:22:46:7650,1.83,9.83,-0.50,-0.12,-0.19,-0.44
16:22:46:7851,1.83,9.84,-0.50,0.13,-0.33,-0.28
16:22:46:8050,1.83,9.85,-0.42,0.20,-0.49,-0.31
16:22:46:8250,1.85,9.85,-0.44,-0.25,-0.25,-0.33
16:22:46:8450,1.85,9.84,-0.45,-0.51,0.04,-0.43
16:22:46:8650,1.83,9.83,-0.49,-0.65,-0.09,-0.29
16:22:46:8850,1.85,9.84,-0.49,-0.63,0.07,-0.30
16:22:46:9050,1.83,9.86,-0.53,-0.52,-0.08,-0.32
16:22:46:9250,1.84,9.83,-0.54,-0.20,0.04,-0.33
16:22:46:9450,1.83,9.85,-0.49,0.29,-0.04,-0.35
16:22:46:9650,1.84,9.84,-0.48,0.52,-0.20,-0.40
16:22:46:9850,1.83,9.85,-0.42,0.52,-0.39,-0.39
16:22:47:0050,1.85,9.85,-0.44,0.10,-0.23,-0.35
