Time,Ax,Ay,Az,Gx,Gy,Gz
16:16:00:3020,-3.74,9.18,0.30,-0.24,-0.12,-0.37
16:16:00:3220,-3.71,9.19,0.28,-0.17,-0.04,-0.42
16:16:00:3420,-3.72,9.19,0.30,-0.17,-0.25,-0.39
16:16:00:3620,-3.74,9.19,0.27,-0.20,-0.18,-0.39
16:16:00:3820,-3.74,9.17,0.29,-0.15,0.00,-0.41
16:16:00:4020,-3.75,9.19,0.28,-0.16,-0.07,-0.41
16:16:00:4220,-3.72,9.18,0.31,-0.19,-0.24,-0.40
16:16:00:4420,-3.75,9.19,0.28,-0.22,-0.12,-0.41
16:16:00:4620,-3.74,9.20,0.30,-0.21,-0.08,-0.31
16:16:00:4821,-3.74,9.18,0.32,-0.20,-0.18,-0.34
16:16:00:5021,-3.72,9.16,0.31,-0.20,-0.02,-0.40
16:16:00:5220,-3.72,9.19,0.29,-0.16,0.00,-0.40
16:16:00:5420,-3.72,9.19,0.30,-0.20,-0.23,-0.29
16:16:00:5619,-3.73,9.17,0.29,-0.23,-0.15,-0.43
16:16:00:5819,-3.71,9.18,0.33,-0.30,-0.30,-0.33
16:16:00:6019,-3.75,9.19,0.32,-0.21,-0.08,-0.43
16:16:00:6219,-3.75,9.19,0.26,-0.25,-0.08,-0.37
16:16:00:6419,-3.74,9.17,0.29,-0.14,-0.03,-0.32
16:16:00:6620,-3.74,9.20,0.30,-0.21,-0.16,-0.37
16:16:00:6820,-3.75,9.18,0.32,-0.20,-0.15,-0.36
16:16:00:7020,-3.74,9.17,0.32,-0.22,-0.23,-0.36
16:16:00:7220,-3.74,9.19,0.29,-0.11,-0.06,-0.37
16:16:00:7420,-3.74,9.18,0.29,-0.19,-0.19,-0.34
16:16:00:7620,-3.76,9.19,0.30,-0.17,-0.07,-0.36
16:16:00:7820,-3.72,9.19,0.30,-0.15,-0.19,-0.32
16:16:00:8020,-3.74,9.17,0.34,-0.17,-0.12,-0.37
16:16:00:8220,-3.73,9.16,0.30,-0.15,-0.18,-0.38
16:16:00:8420,-3.74,9.19,0.28,-0.21,-0.23,-0.26
16:16:00:8620,-3.73,9.17,0.30,-0.17,-0.06,-0.37
16:16:00:8820,-3.75,9.19,0.29,-0.22,-0.12,-0.33
16:16:00:9020,-3.75,9.19,0.29,-0.22,-0.16,-0.38
16:16:00:9220,-3.77,9.18,0.29,-0.16,-0.13,-0.39
16:16:00:9420,-3.73,9.20,0.29,-0.21,-0.20,-0.29
16:16:00:9620,-3.73,9.18,0.30,-0.20,0.01,-0.37
16:16:00:9821,-3.73,9.17,0.31,-0.30,-0.12,-0.39
16:16:01:0020,-3.74,9.19,0.27,-0.28,-0.12,-0.34
16:16:01:0220,-3.74,9.17,0.31,-0.18,-0.04,-0.38
16:16:01:0420,-3.74,9.17,0.31,-0.17,-0.01,-0.44
16:16:01:0620,-3.72,9.19,0.31,-0.27,-0.06,-0.39
16:16:01:0820,-3.74,9.16,0.31,-0.13,-0.16,-0.41
16:16:01:1020,-3.73,9.19,0.30,-0.19,-0.05,-0.37
16:16:01:1220,-3.74,9.16,0.27,-0.23,-0.09,-0.44
16:16:01:1420,-3.73,9.17,0.30,-0.22,0.00,-0.44
16:16:01:1620,-3.75,9.19,0.30,-0.20,-0.11,-0.37
16:16:01:1820,-3.72,9.15,0.29,-0.14,-0.28,-0.42
16:16:01:2020,-3.75,9.19,0.29,-0.20,-0.20,-0.41
16:16:01:2220,-3.72,9.18,0.28,-0.20,-0.22,-0.35
16:16:01:2421,-3.72,9.17,0.33,-0.15,-0.09,-0.42
16:16:01:2620,-3.72,9.20,0.33,-0.24,-0.18,-0.29
16:16:01:2820,-3.73,9.17,0.30,-0.09,-0.04,-0.36
16:16:01:3020,-3.72,9.19,0.29,-0.20,-0.14,-0.34
16:16:01:3220,-3.73,9.18,0.28,-0.31,-0.15,-0.41
16:16:01:3420,-3.71,9.18,0.29,-0.17,-0.28,-0.25
16:16:01:3620,-3.72,9.18,0.29,-0.25,-0.24,-0.31
16:16:01:3820,-3.72,9.17,0.32,-0.22,-0.20,-0.37
16:16:01:4020,-3.75,9.19,0.29,-0.17,-0.19,-0.48
16:16:01:4220,-3.73,9.19,0.31,-0.20,0.01,-0.27
16:16:01:4420,-3.71,9.17,0.30,-0.23,-0.12,-0.37
16:16:01:4620,-3.71,9.18,0.30,-0.15,0.05,-0.46
16:16:01:4821,-3.74,9.19,0.29,-0.21,-0.17,-0.31
16:16:01:5021,-3.74,9.18,0.31,-0.27,-0.23,-0.32
16:16:01:5220,-3.75,9.19,0.28,-0.20,-0.23,-0.33
16:16:01:5420,-3.71,9.17,0.29,-0.24,-0.19,-0.40
16:16:01:5621,-3.73,9.19,0.27,-0.28,-0.17,-0.40
16:16:01:5821,-3.74,9.18,0.29,-0.23,-0.19,-0.36
16:16:01:6022,-3.74,9.19,0.30,-0.16,-0.11,-0.32
16:16:01:6222,-3.71,9.18,0.32,-0.24,-0.15,-0.32
16:16:01:6422,-3.72,9.19,0.32,-0.20,-0.09,-0.39
16:16:01:6622,-3.74,9.19,0.30,-0.18,-0.14,-0.40
16:16:01:6822,-3.74,9.19,0.30,-0.09,-0.12,-0.42
16:16:01:7022,-3.74,9.17,0.30,-0.13,-0.09,-0.37
16:16:01:7222,-3.75,9.18,0.28,-0.22,-0.18,-0.38
16:16:01:7422,-3.72,9.17,0.34,-0.14,-0.02,-0.41
16:16:01:7622,-3.73,9.18,0.30,-0.19,-0.11,-0.34
16:16:01:7822,-3.72,9.19,0.31,-0.13,-0.07,-0.43
16:16:01:8022,-3.74,9.19,0.29,-0.15,0.06,-0.36
16:16:01:8222,-3.72,9.19,0.31,-0.17,-0.24,-0.33
16:16:01:8422,-3.74,9.18,0.27,-0.20,-0.12,-0.38
16:16:01:8622,-3.73,9.19,0.28,-0.26,-0.30,-0.30
16:16:01:8822,-3.75,9.19,0.30,-0.09,-0.05,-0.39
16:16:01:9022,-3.74,9.17,0.28,-0.19,-0.15,-0.33
16:16:01:9222,-3.74,9.19,0.29,-0.17,-0.25,-0.29
16:16:01:9422,-3.73,9.19,0.29,-0.12,-0.08,-0.45
16:16:01:9622,-3.76,9.17,0.31,-0.23,-0.20,-0.32
16:16:01:9823,-3.71,9.19,0.32,-0.24,-0.25,-0.31
16:16:02:0022,-3.73,9.18,0.30,-0.28,-0.13,-0.33
16:16:02:0222,-3.74,9.20,0.29,-0.23,-0.14,-0.28
16:16:02:0422,-3.75,9.17,0.27,-0.26,-0.23,-0.41
16:16:02:0622,-3.72,9.17,0.31,-0.17,-0.20,-0.39
16:16:02:0822,-3.74,9.19,0.29,-0.17,-0.05,-0.32
16:16:02:1022,-3.73,9.21,0.31,-0.23,-0.12,-0.42
16:16:02:1222,-3.74,9.18,0.29,-0.11,0.01,-0.31
16:16:02:1422,-3.72,9.19,0.29,-0.27,-0.11,-0.39
16:16:02:1622,-3.74,9.17,0.27,-0.31,-0.27,-0.33
16:16:02:1822,-3.72,9.19,0.29,-0.23,-0.18,-0.33
16:16:02:2022,-3.71,9.18,0.28,-0.20,-0.12,-0.39
16:16:02:2222,-3.73,9.21,0.31,-0.28,-0.13,-0.32
16:16:02:2423,-3.73,9.19,0.30,-0.24,-0.23,-0.30
16:16:02:2622,-3.74,9.17,0.29,-0.15,-0.20,-0.34
16:16:02:2822,-3.74,9.17,0.27,-0.20,-0.27,-0.32
16:16:02:3022,-3.75,9.19,0.27,-0.16,-0.02,-0.31
16:16:02:3222,-3.74,9.17,0.30,-0.19,-0.07,-0.36
16:16:02:3422,-3.74,9.19,0.31,-0.17,-0.12,-0.37
16:16:02:3622,-3.75,9.19,0.30,-0.22,-0.19,-0.34
16:16:02:3822,-3.73,9.17,0.27,-0.25,-0.19,-0.36
16:16:02:4022,-3.71,9.20,0.29,-0.15,-0.02,-0.29
16:16:02:4222,-3.72,9.21,0.30,-0.19,-0.12,-0.28
16:16:02:4422,-3.73,9.19,0.30,-0.09,-0.16,-0.33
16:16:02:4622,-3.75,9.19,0.30,-0.26,-0.15,-0.24
16:16:02:4823,-3.73,9.19,0.28,-0.20,-0.16,-0.39
16:16:02:5023,-3.75,9.18,0.29,-0.21,-0.14,-0.45
16:16:02:5222,-3.74,9.18,0.30,-0.22,-0.17,-0.33
16:16:02:5422,-3.74,9.21,0.31,-0.19,-0.05,-0.40
16:16:02:5623,-3.74,9.19,0.32,-0.23,-0.25,-0.36
16:16:02:5823,-3.74,9.19,0.28,-0.29,-0.25,-0.39
16:16:02:6023,-3.73,9.17,0.30,-0.20,-0.06,-0.40
16:16:02:6223,-3.72,9.16,0.32,-0.19,-0.12,-0.42
16:16:02:6423,-3.74,9.19,0.28,-0.18,-0.23,-0.35
16:16:02:6623,-3.73,9.19,0.29,-0.20,-0.19,-0.33
16:16:02:6823,-3.73,9.19,0.28,-0.23,-0.30,-0.32
16:16:02:7023,-3.74,9.19,0.27,-0.19,-0.14,-0.32
16:16:02:7223,-3.73,9.18,0.29,-0.12,-0.14,-0.32
16:16:02:7423,-3.73,9.19,0.29,-0.17,-0.07,-0.38
16:16:02:7623,-3.72,9.17,0.28,-0.21,-0.20,-0.38
16:16:02:7823,-3.73,9.17,0.27,-0.09,-0.10,-0.37
16:16:02:8023,-3.73,9.18,0.27,-0.18,-0.15,-0.38
16:16:02:8223,-3.73,9.19,0.32,-0.29,-0.31,-0.37
16:16:02:8423,-3.75,9.19,0.29,-0.29,-0.20,-0.32
16:16:02:8623,-3.74,9.18,0.29,-0.21,-0.21,-0.29
16:16:02:8823,-3.73,9.18,0.30,-0.22,-0.20,-0.38
16:16:02:9023,-3.77,9.19,0.28,-0.17,-0.03,-0.33
16:16:02:9223,-3.73,9.18,0.32,-0.36,-0.28,-0.29
16:16:02:9423,-3.74,9.17,0.29,-0.21,-0.17,-0.39
16:16:02:9623,-3.73,9.17,0.29,-0.17,-0.10,-0.33
16:16:02:9824,-3.75,9.18,0.28,-0.14,-0.25,-0.42
16:16:03:0023,-3.73,9.18,0.31,-0.25,-0.26,-0.31
16:16:03:0223,-3.75,9.19,0.30,-0.25,-0.05,-0.36
16:16:03:0423,-3.74,9.21,0.32,-0.20,-0.20,-0.37
16:16:03:0623,-3.73,9.19,0.27,-0.23,-0.12,-0.36
16:16:03:0823,-3.72,9.18,0.31,-0.18,-0.01,-0.35
16:16:03:1023,-3.74,9.19,0.28,-0.19,-0.11,-0.34
16:16:03:1223,-3.74,9.16,0.32,-0.20,-0.21,-0.41
16:16:03:1423,-3.72,9.19,0.26,-0.21,-0.15,-0.39
16:16:03:1623,-3.75,9.17,0.31,-0.18,-0.12,-0.35
16:16:03:1823,-3.73,9.19,0.29,-0.17,-0.11,-0.32
16:16:03:2023,-3.73,9.19,0.32,-0.18,-0.06,-0.36
16:16:03:2223,-3.71,9.19,0.29,-0.20,-0.19,-0.37
16:16:03:2424,-3.74,9.19,0.33,-0.22,-0.32,-0.29
16:16:03:2623,-3.74,9.19,0.30,-0.20,-0.20,-0.39
16:16:03:2824,-3.72,9.18,0.30,-0.31,-0.17,-0.37
16:16:03:3023,-3.74,9.19,0.29,-0.11,0.02,-0.40
16:16:03:3223,-3.73,9.18,0.28,-0.23,-0.20,-0.31
16:16:03:3423,-3.73,9.19,0.28,-0.21,-0.19,-0.29
16:16:03:3623,-3.72,9.19,0.32,-0.20,-0.15,-0.42
16:16:03:3823,-3.74,9.18,0.29,-0.14,-0.19,-0.33
16:16:03:4023,-3.76,9.18,0.26,-0.20,-0.12,-0.32
16:16:03:4223,-3.74,9.18,0.30,-0.17,-0.31,-0.38
16:16:03:4424,-3.74,9.17,0.30,-0.18,-0.05,-0.40
16:16:03:4624,-3.74,9.18,0.29,-0.17,-0.04,-0.45
