Time,Ax,Ay,Az,Gx,Gy,Gz
17:14:35:9707,0.03,-9.63,0.35,-0.25,-0.23,-0.33
17:14:35:9908,0.03,-9.67,0.31,-0.21,-0.12,-0.35
17:14:36:0108,0.02,-9.65,0.34,-0.08,-0.06,-0.34
17:14:36:0307,0.04,-9.64,0.35,-0.19,-0.02,-0.40
17:14:36:0507,0.02,-9.66,0.34,-0.18,-0.14,-0.29
17:14:36:0707,0.02,-9.67,0.35,-0.12,-0.09,-0.41
17:14:36:0907,0.03,-9.65,0.36,-0.20,-0.12,-0.40
17:14:36:1107,0.03,-9.64,0.34,-0.23,-0.13,-0.34
17:14:36:1307,0.02,-9.64,0.37,-0.06,-0.04,-0.37
17:14:36:1507,0.02,-9.65,0.35,-0.15,0.08,-0.37
17:14:36:1707,0.03,-9.68,0.31,-0.12,-0.08,-0.40
17:14:36:1908,0.05,-9.67,0.36,-0.20,-0.03,-0.39
17:14:36:2108,0.02,-9.64,0.33,-0.20,-0.08,-0.41
17:14:36:2308,-0.00,-9.67,0.33,-0.11,-0.07,-0.36
17:14:36:2508,0.01,-9.66,0.36,-0.20,-0.23,-0.33
17:14:36:2708,0.05,-9.64,0.33,-0.33,-0.17,-0.32
17:14:36:2908,0.01,-9.65,0.35,-0.11,-0.12,-0.34
17:14:36:3108,0.01,-9.63,0.34,-0.03,-0.11,-0.40
17:14:36:3308,0.04,-9.64,0.33,-0.16,-0.11,-0.40
17:14:36:3508,0.01,-9.66,0.36,-0.26,0.01,-0.37
17:14:36:3708,0.03,-9.64,0.37,-0.16,-0.19,-0.35
17:14:36:3908,0.02,-9.67,0.35,-0.14,-0.07,-0.40
17:14:36:4108,0.02,-9.64,0.36,-0.12,-0.04,-0.37
17:14:36:4308,0.02,-9.64,0.36,-0.21,-0.30,-0.39
17:14:36:4508,0.01,-9.64,0.35,-0.18,-0.03,-0.35
17:14:36:4708,0.04,-9.66,0.37,-0.21,-0.14,-0.31
17:14:36:4909,0.04,-9.65,0.33,-0.22,-0.29,-0.37
17:14:36:5108,0.02,-9.64,0.35,-0.20,-0.13,-0.39
17:14:36:5308,0.04,-9.62,0.32,-0.21,-0.17,-0.33
17:14:36:5508,-0.00,-9.61,0.34,-0.23,-0.14,-0.28
17:14:36:5707,0.03,-9.63,0.38,-0.14,-0.26,-0.37
17:14:36:5907,0.04,-9.63,0.35,-0.21,-0.20,-0.33
17:14:36:6107,0.04,-9.64,0.36,-0.29,-0.23,-0.35
17:14:36:6307,0.02,-9.65,0.33,-0.20,-0.01,-0.46
17:14:36:6507,0.04,-9.67,0.32,-0.16,-0.16,-0.44
17:14:36:6707,0.01,-9.65,0.32,-0.21,-0.02,-0.33
17:14:36:6907,-0.00,-9.64,0.36,-0.23,-0.19,-0.34
17:14:36:7107,0.02,-9.63,0.33,-0.17,-0.13,-0.29
17:14:36:7307,0.02,-9.66,0.35,-0.20,-0.09,-0.38
17:14:36:7508,0.01,-9.62,0.36,-0.26,-0.15,-0.37
17:14:36:7707,0.01,-9.68,0.37,-0.12,-0.07,-0.40
17:14:36:7907,0.02,-9.64,0.37,-0.15,-0.03,-0.40
17:14:36:8107,0.03,-9.66,0.35,-0.32,-0.02,-0.44
17:14:36:8308,0.02,-9.64,0.35,-0.13,0.01,-0.32
17:14:36:8507,0.02,-9.66,0.32,-0.03,-0.02,-0.39
17:14:36:8707,-0.00,-9.64,0.35,-0.32,-0.13,-0.35
17:14:36:8907,0.04,-9.65,0.33,-0.31,-0.15,-0.37
17:14:36:9107,0.04,-9.62,0.37,-0.17,-0.14,-0.40
17:14:36:9307,0.03,-9.67,0.34,-0.27,-0.23,-0.30
17:14:36:9508,0.01,-9.63,0.37,-0.23,-0.14,-0.33
17:14:36:9708,0.02,-9.62,0.35,-0.14,-0.09,-0.36
17:14:36:9909,0.04,-9.64,0.33,-0.05,-0.06,-0.34
17:14:37:0108,0.02,-9.66,0.37,-0.33,0.04,-0.37
17:14:37:0308,0.04,-9.61,0.35,-0.24,-0.06,-0.40
17:14:37:0508,0.03,-9.66,0.37,-0.08,-0.13,-0.39
17:14:37:0708,0.01,-9.64,0.34,-0.21,-0.10,-0.34
17:14:37:0908,-0.00,-9.65,0.34,-0.17,-0.19,-0.36
17:14:37:1108,0.03,-9.64,0.37,-0.20,-0.08,-0.37
17:14:37:1308,0.01,-9.65,0.34,-0.20,-0.18,-0.30
17:14:37:1508,0.03,-9.63,0.37,-0.25,-0.20,-0.34
17:14:37:1708,0.03,-9.66,0.34,-0.20,-0.03,-0.36
17:14:37:1908,0.03,-9.64,0.34,-0.14,-0.05,-0.34
17:14:37:2108,0.02,-9.66,0.35,-0.24,-0.08,-0.34
17:14:37:2308,0.03,-9.65,0.33,-0.22,-0.14,-0.35
17:14:37:2508,0.02,-9.65,0.31,-0.20,-0.13,-0.38
17:14:37:2708,0.02,-9.64,0.34,-0.24,-0.23,-0.36
17:14:37:2908,0.02,-9.68,0.34,-0.12,-0.09,-0.42
17:14:37:3108,0.01,-9.66,0.34,-0.29,-0.20,-0.36
17:14:37:3308,0.03,-9.66,0.31,-0.06,0.10,-0.36
17:14:37:3508,0.02,-9.64,0.34,-0.21,-0.25,-0.33
17:14:37:3708,0.04,-9.67,0.36,-0.16,0.01,-0.38
17:14:37:3908,0.04,-9.64,0.34,-0.15,-0.11,-0.35
17:14:37:4108,0.02,-9.68,0.35,-0.19,-0.09,-0.41
17:14:37:4308,0.01,-9.63,0.32,-0.20,-0.02,-0.45
17:14:37:4508,0.04,-9.66,0.34,-0.11,-0.05,-0.40
