Time,Ax,Ay,Az,Gx,Gy,Gz
17:17:19:7345,-0.02,-8.68,4.42,-0.22,-0.13,-0.39
17:17:19:7545,-0.03,-8.67,4.43,-0.06,-0.20,-0.35
17:17:19:7746,-0.02,-8.65,4.48,-0.18,-0.17,-0.40
17:17:19:7945,-0.01,-8.69,4.47,-0.22,-0.12,-0.33
17:17:19:8146,-0.01,-8.67,4.47,-0.25,-0.08,-0.39
17:17:19:8346,-0.00,-8.65,4.45,-0.14,-0.11,-0.44
17:17:19:8546,-0.02,-8.65,4.46,-0.17,-0.14,-0.34
17:17:19:8746,-0.03,-8.66,4.48,-0.11,-0.11,-0.40
17:17:19:8946,-0.03,-8.67,4.47,-0.16,-0.08,-0.43
17:17:19:9146,-0.02,-8.66,4.44,-0.18,-0.15,-0.38
17:17:19:9346,-0.02,-8.66,4.48,-0.12,-0.12,-0.35
17:17:19:9546,-0.02,-8.68,4.47,-0.11,0.05,-0.37
17:17:19:9746,-0.01,-8.67,4.47,-0.14,-0.19,-0.31
17:17:19:9946,-0.02,-8.68,4.45,-0.26,-0.06,-0.37
17:17:20:0147,-0.01,-8.67,4.47,-0.25,-0.13,-0.40
17:17:20:0346,-0.03,-8.66,4.48,-0.18,-0.12,-0.35
17:17:20:0546,-0.02,-8.68,4.43,-0.16,-0.13,-0.37
17:17:20:0746,-0.02,-8.70,4.49,-0.14,0.00,-0.34
17:17:20:0946,-0.03,-8.65,4.47,-0.20,-0.24,-0.29
17:17:20:1146,-0.03,-8.66,4.47,-0.17,-0.22,-0.34
17:17:20:1346,-0.00,-8.68,4.44,-0.24,-0.20,-0.36
17:17:20:1546,-0.02,-8.67,4.46,-0.20,-0.14,-0.36
17:17:20:1746,-0.00,-8.67,4.46,-0.20,0.00,-0.37
17:17:20:1946,-0.01,-8.68,4.47,-0.19,-0.22,-0.37
17:17:20:2146,-0.01,-8.66,4.47,-0.13,-0.05,-0.41
17:17:20:2346,-0.02,-8.68,4.49,-0.17,-0.11,-0.36
17:17:20:2546,-0.01,-8.64,4.47,-0.06,-0.14,-0.48
17:17:20:2747,-0.01,-8.68,4.45,-0.30,-0.31,-0.34
17:17:20:2946,-0.03,-8.66,4.48,-0.22,-0.29,-0.34
17:17:20:3146,-0.01,-8.67,4.45,-0.19,-0.08,-0.37
17:17:20:3346,-0.00,-8.65,4.44,-0.19,-0.16,-0.32
17:17:20:3546,-0.01,-8.67,4.47,-0.19,-0.16,-0.36
17:17:20:3746,-0.00,-8.68,4.44,-0.13,-0.17,-0.40
