Time,Ax,Ay,Az,Gx,Gy,Gz
14:24:46:9095,-0.03,0.16,10.12,-0.36,-0.03,-0.39
14:24:46:9295,0.01,0.14,10.00,-0.19,-0.04,-0.42
14:24:46:9495,0.09,0.21,10.12,-0.24,-0.30,-0.32
14:24:46:9695,0.02,0.13,9.99,-0.15,0.07,-0.40
14:24:46:9896,-0.00,0.20,10.02,-0.27,0.08,-0.39
14:24:47:0095,0.02,0.16,10.00,-0.19,-0.18,-0.33
14:24:47:0295,0.02,0.14,10.07,-0.31,-0.21,-0.36
14:24:47:0495,0.05,0.19,10.02,-0.33,-0.21,-0.34
14:24:47:0695,0.04,0.17,10.05,-0.23,-0.11,-0.40
14:24:47:0895,0.03,0.13,10.02,-0.14,-0.06,-0.39
14:24:47:1095,0.01,0.15,10.05,-0.19,-0.07,-0.38
14:24:47:1295,0.01,0.17,10.00,-0.19,0.07,-0.40
14:24:47:1495,-0.00,0.20,10.03,-0.31,-0.10,-0.31
14:24:47:1695,0.01,0.16,10.03,-0.22,-0.11,-0.33
14:24:47:1895,0.06,0.15,9.99,-0.20,-0.06,-0.42
14:24:47:2095,0.01,0.16,10.06,-0.28,-0.08,-0.35
14:24:47:2296,0.03,0.16,10.08,-0.15,0.07,-0.42
14:24:47:2496,0.02,0.20,10.06,-0.28,-0.10,-0.39
14:24:47:2696,0.01,0.15,9.98,-0.25,-0.15,-0.32
14:24:47:2896,0.03,0.15,10.05,-0.23,-0.20,-0.36
14:24:47:3096,0.06,0.17,10.05,-0.14,-0.14,-0.37
14:24:47:3296,0.05,0.14,10.09,-0.38,-0.09,-0.36
14:24:47:3496,-0.00,0.17,10.05,-0.27,-0.06,-0.35
14:24:47:3696,0.02,0.18,10.04,-0.33,-0.25,-0.37
14:24:47:3896,0.01,0.16,10.01,-0.28,-0.28,-0.37
14:24:47:4096,0.02,0.18,10.03,-0.20,-0.01,-0.35
14:24:47:4296,0.03,0.15,10.07,-0.21,-0.03,-0.37
14:24:47:4496,0.03,0.14,10.03,-0.18,-0.04,-0.34
14:24:47:4696,-0.00,0.16,9.99,-0.28,-0.16,-0.37
14:24:47:4896,0.03,0.15,10.03,-0.22,-0.26,-0.34
14:24:47:5096,0.06,0.16,10.03,-0.25,-0.08,-0.38
14:24:47:5296,0.02,0.17,10.04,-0.22,0.04,-0.38
14:24:47:5496,-0.00,0.12,10.02,-0.27,-0.26,-0.33
14:24:47:5696,0.03,0.18,10.03,-0.24,-0.08,-0.36
14:24:47:5896,0.01,0.18,10.02,-0.25,-0.14,-0.36
14:24:47:6096,0.01,0.17,10.03,-0.24,-0.06,-0.35
14:24:47:6296,0.02,0.19,10.01,-0.25,-0.12,-0.35
14:24:47:6496,0.03,0.17,10.03,-0.22,-0.24,-0.33
14:24:47:6696,-0.00,0.17,10.05,-0.20,-0.15,-0.32
14:24:47:6896,0.03,0.14,10.02,-0.21,-0.12,-0.37
14:24:47:7096,0.03,0.20,10.07,-0.22,-0.11,-0.45
14:24:47:7297,-0.00,0.17,10.01,-0.31,-0.12,-0.33
14:24:47:7496,0.01,0.15,10.01,-0.30,-0.20,-0.36
14:24:47:7696,0.03,0.16,10.03,-0.20,0.00,-0.39
14:24:47:7896,0.03,0.16,10.04,-0.24,-0.06,-0.43
14:24:47:8095,0.02,0.17,9.99,-0.25,-0.04,-0.34
14:24:47:8295,0.05,0.14,10.06,-0.21,-0.10,-0.34
14:24:47:8495,0.02,0.17,10.04,-0.25,-0.16,-0.35
14:24:47:8695,0.02,0.17,10.01,-0.20,-0.03,-0.40
14:24:47:8895,0.02,0.16,10.08,-0.27,-0.12,-0.40
14:24:47:9095,0.02,0.17,10.03,-0.33,-0.14,-0.41
14:24:47:9295,0.01,0.17,10.03,-0.26,0.01,-0.40
14:24:47:9495,0.01,0.19,10.04,-0.24,-0.03,-0.38
14:24:47:9696,0.04,0.18,10.04,-0.24,-0.18,-0.38
14:24:47:9896,0.04,0.17,10.05,-0.19,-0.14,-0.36
14:24:48:0096,-0.00,0.17,10.04,-0.24,-0.02,-0.36
14:24:48:0296,0.03,0.14,10.03,-0.30,-0.18,-0.33
14:24:48:0496,0.03,0.18,10.02,-0.18,-0.20,-0.37
14:24:48:0696,0.03,0.16,10.05,-0.08,0.05,-0.43
14:24:48:0896,-0.00,0.16,10.03,-0.33,-0.29,-0.30
14:24:48:1096,0.03,0.16,10.02,-0.22,-0.12,-0.45
14:24:48:1296,0.03,0.18,10.03,-0.32,-0.14,-0.33
14:24:48:1496,-0.00,0.15,10.07,-0.19,-0.16,-0.35
14:24:48:1696,0.01,0.13,10.00,-0.22,-0.04,-0.30
14:24:48:1896,0.04,0.16,10.05,-0.19,0.01,-0.41
14:24:48:2096,0.03,0.16,10.00,-0.25,-0.23,-0.29
14:24:48:2297,-0.00,0.17,10.00,-0.22,-0.22,-0.35
14:24:48:2496,-0.00,0.18,10.04,-0.24,-0.26,-0.34
14:24:48:2696,0.04,0.14,10.01,-0.26,-0.09,-0.29
14:24:48:2896,0.04,0.19,10.04,-0.16,-0.14,-0.37
14:24:48:3096,0.03,0.17,10.05,-0.23,-0.14,-0.35
14:24:48:3296,-0.00,0.18,10.03,-0.21,-0.20,-0.33
14:24:48:3496,0.04,0.16,10.02,-0.24,-0.14,-0.39
14:24:48:3696,0.05,0.17,10.06,-0.21,-0.18,-0.45
14:24:48:3896,0.04,0.18,10.02,-0.31,-0.16,-0.35
14:24:48:4096,-0.00,0.18,10.00,-0.26,-0.10,-0.36
14:24:48:4296,0.02,0.18,10.04,-0.32,-0.20,-0.35
14:24:48:4496,0.02,0.18,10.00,-0.28,-0.01,-0.37
14:24:48:4696,0.02,0.17,10.03,-0.28,-0.21,-0.31
14:24:48:4897,0.02,0.18,10.00,-0.28,-0.27,-0.34
14:24:48:5096,0.02,0.14,10.02,-0.19,-0.03,-0.27
14:24:48:5296,0.02,0.19,10.04,-0.26,-0.18,-0.36
14:24:48:5496,0.03,0.17,10.04,-0.28,0.00,-0.40
14:24:48:5696,0.02,0.15,10.01,-0.20,-0.02,-0.39
14:24:48:5896,0.02,0.18,10.05,-0.21,-0.04,-0.41
14:24:48:6096,0.01,0.18,10.06,-0.28,-0.04,-0.41
14:24:48:6297,0.02,0.16,10.01,-0.27,-0.08,-0.37
14:24:48:6496,0.03,0.15,10.03,-0.31,-0.08,-0.35
14:24:48:6696,0.02,0.16,10.07,-0.21,-0.14,-0.28
14:24:48:6897,0.03,0.16,10.02,-0.29,-0.10,-0.34
14:24:48:7097,-0.00,0.16,10.05,-0.21,-0.11,-0.40
14:24:48:7297,0.02,0.15,10.01,-0.15,-0.13,-0.34
14:24:48:7497,0.03,0.17,10.08,-0.20,-0.15,-0.34
14:24:48:7697,0.04,0.18,10.03,-0.28,-0.20,-0.37
14:24:48:7897,0.02,0.16,10.05,-0.26,-0.06,-0.35
14:24:48:8097,-0.00,0.16,10.04,-0.23,-0.05,-0.36
14:24:48:8297,0.01,0.14,10.04,-0.23,-0.15,-0.39
14:24:48:8497,0.01,0.16,10.01,-0.19,-0.02,-0.38
14:24:48:8697,0.02,0.14,10.05,-0.23,-0.26,-0.36
14:24:48:8897,0.03,0.17,10.03,-0.31,-0.22,-0.29
14:24:48:9097,0.02,0.17,10.04,-0.24,-0.11,-0.33
14:24:48:9297,0.01,0.17,10.04,-0.27,-0.13,-0.37
14:24:48:9497,-0.00,0.15,10.07,-0.31,-0.09,-0.33
14:24:48:9697,0.06,0.16,9.99,-0.20,-0.05,-0.36
14:24:48:9897,0.01,0.16,10.06,-0.26,-0.16,-0.39
14:24:49:0097,0.02,0.15,10.02,-0.12,-0.07,-0.39
14:24:49:0297,0.02,0.16,10.03,-0.27,-0.17,-0.33
14:24:49:0497,0.03,0.14,10.04,-0.29,-0.26,-0.31
14:24:49:0697,0.01,0.19,10.02,-0.31,-0.10,-0.34
14:24:49:0897,0.04,0.15,10.02,-0.25,-0.24,-0.34
14:24:49:1097,0.03,0.17,10.02,-0.18,-0.09,-0.36
14:24:49:1297,0.01,0.15,10.01,-0.32,-0.13,-0.37
14:24:49:1497,0.04,0.16,10.02,-0.21,-0.21,-0.27
14:24:49:1697,0.02,0.15,10.04,-0.27,0.09,-0.47
14:24:49:1897,0.01,0.16,10.03,-0.26,-0.15,-0.35
14:24:49:2097,0.01,0.15,10.05,-0.19,-0.08,-0.32
14:24:49:2298,0.02,0.15,10.06,-0.17,-0.04,-0.36
14:24:49:2498,0.02,0.14,10.04,-0.26,-0.07,-0.40
14:24:49:2697,0.02,0.15,10.03,-0.20,-0.10,-0.34
14:24:49:2897,-0.00,0.16,10.04,-0.17,-0.17,-0.33
14:24:49:3098,0.01,0.17,10.06,-0.24,-0.12,-0.39
14:24:49:3298,0.02,0.17,10.01,-0.20,-0.11,-0.34
14:24:49:3498,0.03,0.14,10.02,-0.26,0.01,-0.36
14:24:49:3698,0.02,0.16,10.03,-0.29,-0.01,-0.36
14:24:49:3898,0.03,0.16,10.05,-0.20,-0.09,-0.39
14:24:49:4098,0.01,0.20,10.02,-0.29,-0.20,-0.36
14:24:49:4298,0.01,0.17,10.00,-0.20,-0.15,-0.44
14:24:49:4498,0.03,0.15,10.05,-0.31,-0.20,-0.33
14:24:49:4698,0.02,0.16,10.02,-0.34,-0.08,-0.34
14:24:49:4898,0.01,0.17,10.03,-0.18,-0.14,-0.30
14:24:49:5098,-0.00,0.16,10.02,-0.22,-0.19,-0.34
14:24:49:5298,0.04,0.15,10.02,-0.36,-0.17,-0.37
14:24:49:5498,0.02,0.15,10.02,-0.26,-0.08,-0.32
14:24:49:5698,0.01,0.15,10.03,-0.24,-0.22,-0.32
14:24:49:5898,0.02,0.16,10.04,-0.26,-0.12,-0.35
14:24:49:6098,0.01,0.17,10.02,-0.25,-0.21,-0.37
14:24:49:6298,0.03,0.15,10.04,-0.27,-0.04,-0.40
14:24:49:6498,0.02,0.17,10.03,-0.27,-0.14,-0.32
14:24:49:6698,0.03,0.16,10.05,-0.17,-0.08,-0.38
14:24:49:6898,-0.00,0.16,10.00,-0.27,-0.04,-0.34
14:24:49:7098,0.02,0.17,10.01,-0.24,-0.17,-0.36
14:24:49:7299,0.03,0.16,10.07,-0.27,-0.13,-0.30
14:24:49:7498,0.03,0.17,10.04,-0.28,-0.09,-0.37
14:24:49:7698,0.02,0.18,10.05,-0.28,-0.14,-0.37
14:24:49:7898,0.02,0.14,9.99,-0.24,-0.17,-0.37
14:24:49:8097,0.03,0.17,10.03,-0.20,-0.13,-0.32
