Time,Ax,Ay,Az,Gx,Gy,Gz
14:35:05:2132,-0.24,0.20,9.99,-0.21,0.10,-0.41
14:35:05:2314,-0.41,0.17,10.03,-0.25,-0.27,-0.37
14:35:05:2514,-0.39,0.09,10.02,-0.22,-0.14,-0.33
14:36:54:5694,-0.38,0.14,9.99,-0.21,-0.11,-0.42
14:36:54:5895,-0.38,0.15,10.01,-0.17,-0.01,-0.37
14:36:54:6094,-0.38,0.17,10.01,-0.27,-0.09,-0.33
14:36:54:6294,-0.40,0.17,10.01,-0.17,-0.08,-0.34
14:36:54:6494,-0.39,0.16,10.00,-0.30,-0.20,-0.34
14:36:54:6694,-0.37,0.13,10.05,-0.21,-0.15,-0.35
14:36:54:6894,-0.42,0.14,9.99,-0.21,-0.15,-0.45
14:36:54:7094,-0.40,0.14,10.03,-0.22,-0.17,-0.29
14:36:54:7295,-0.39,0.15,10.01,-0.12,-0.06,-0.34
14:36:54:7494,-0.38,0.16,10.00,-0.22,-0.19,-0.40
14:36:54:7694,-0.38,0.15,10.04,-0.17,-0.08,-0.34
14:36:54:7895,-0.38,0.13,10.01,-0.28,-0.10,-0.32
14:36:54:8095,-0.39,0.13,10.03,-0.26,-0.11,-0.38
14:36:54:8295,-0.35,0.15,10.02,-0.15,-0.17,-0.35
14:36:54:8495,-0.40,0.14,9.99,-0.21,-0.06,-0.43
14:36:54:8695,-0.38,0.15,10.02,-0.14,-0.09,-0.31
14:36:54:8895,-0.41,0.16,10.01,-0.22,-0.25,-0.35
14:36:54:9095,-0.37,0.18,10.05,-0.21,-0.14,-0.47
14:36:54:9295,-0.38,0.12,10.01,-0.17,0.00,-0.36
14:36:54:9495,-0.41,0.15,9.99,-0.24,-0.20,-0.31
14:36:54:9695,-0.36,0.12,10.03,-0.28,-0.11,-0.37
14:36:54:9895,-0.41,0.20,10.02,-0.10,0.11,-0.48
14:36:55:0095,-0.39,0.16,10.01,-0.19,0.05,-0.32
14:36:55:0295,-0.41,0.14,10.01,-0.16,-0.20,-0.32
14:36:55:0495,-0.38,0.15,9.99,-0.14,-0.07,-0.37
14:36:55:0695,-0.37,0.15,10.02,-0.15,-0.08,-0.43
14:36:55:0895,-0.40,0.15,9.99,-0.16,-0.09,-0.30
14:36:55:1095,-0.39,0.15,10.02,-0.18,-0.17,-0.40
14:36:55:1295,-0.38,0.18,10.02,-0.27,-0.05,-0.45
14:36:55:1495,-0.39,0.13,10.03,-0.32,-0.20,-0.40
14:36:55:1695,-0.41,0.11,10.02,-0.21,-0.18,-0.32
14:36:55:1895,-0.38,0.16,10.00,-0.28,-0.12,-0.37
14:36:55:2095,-0.39,0.16,10.02,-0.24,-0.17,-0.40
14:36:55:2295,-0.41,0.16,9.99,-0.18,-0.09,-0.35
14:36:55:2495,-0.41,0.19,10.00,-0.14,-0.10,-0.34
14:36:55:2695,-0.39,0.16,9.99,-0.34,-0.08,-0.32
14:36:55:2895,-0.38,0.15,10.04,-0.26,-0.21,-0.38
14:36:55:3095,-0.39,0.18,9.99,-0.26,-0.28,-0.39
14:36:55:3296,-0.39,0.15,10.02,-0.26,-0.15,-0.23
14:36:55:3496,-0.38,0.15,10.02,-0.24,-0.11,-0.34
14:36:55:3695,-0.40,0.18,10.00,-0.24,-0.11,-0.32
14:36:55:3895,-0.39,0.14,10.05,-0.20,0.04,-0.41
14:36:55:4095,-0.37,0.12,10.02,-0.05,-0.06,-0.34
14:36:55:4295,-0.40,0.17,9.99,-0.14,-0.12,-0.34
14:36:55:4495,-0.39,0.16,10.04,-0.26,-0.26,-0.31
14:36:55:4696,-0.40,0.18,10.03,-0.31,-0.24,-0.37
14:36:55:4896,-0.38,0.12,10.02,-0.29,-0.17,-0.28
14:36:55:5096,-0.38,0.13,10.02,-0.26,-0.17,-0.33
14:36:55:5296,-0.40,0.16,10.05,-0.20,-0.24,-0.33
14:36:55:5496,-0.41,0.14,9.99,-0.19,-0.23,-0.37
14:36:55:5696,-0.38,0.13,10.02,-0.14,-0.06,-0.38
14:36:55:5896,-0.37,0.16,10.00,-0.22,-0.16,-0.41
14:36:55:6096,-0.38,0.18,9.99,-0.21,-0.14,-0.40
14:36:55:6296,-0.39,0.15,10.06,-0.21,-0.05,-0.41
14:36:55:6496,-0.42,0.12,9.99,-0.24,-0.04,-0.36
14:36:55:6696,-0.38,0.15,10.02,-0.29,-0.01,-0.34
14:36:55:6896,-0.39,0.16,10.01,-0.19,-0.12,-0.43
14:36:55:7096,-0.40,0.15,10.00,-0.17,-0.02,-0.32
14:36:55:7296,-0.43,0.15,9.99,-0.24,-0.20,-0.42
14:36:55:7496,-0.38,0.14,10.02,-0.12,-0.15,-0.33
14:36:55:7696,-0.39,0.18,10.01,-0.29,-0.24,-0.38
