Time,Ax,Ay,Az,Gx,Gy,Gz
11:00:56:9535,9.84,0.20,0.72,-0.26,-0.27,-0.34
11:00:56:9666,9.84,0.15,0.91,-0.28,-0.06,-0.40
11:00:56:9866,9.83,0.16,0.91,-0.33,-0.24,-0.34
11:00:57:0066,9.84,0.19,0.92,-0.26,-0.12,-0.31
11:00:57:0266,9.84,0.18,0.89,-0.20,-0.17,-0.29
11:00:57:0466,9.83,0.20,0.91,-0.12,-0.09,-0.42
11:00:57:0666,9.83,0.18,0.92,-0.23,-0.16,-0.32
11:00:57:0867,9.84,0.17,0.89,-0.23,-0.15,-0.30
11:00:57:1067,9.83,0.19,0.88,-0.25,-0.12,-0.40
11:00:57:1267,9.83,0.17,0.90,-0.11,-0.11,-0.35
11:00:57:1467,9.85,0.20,0.90,-0.21,-0.23,-0.43
11:00:57:1667,9.86,0.16,0.87,-0.26,-0.34,-0.34
11:00:57:1867,9.84,0.20,0.90,-0.28,-0.10,-0.33
11:00:57:2067,9.85,0.16,0.89,-0.14,-0.09,-0.37
11:00:57:2267,9.85,0.18,0.90,-0.19,-0.20,-0.39
11:00:57:2467,9.82,0.17,0.88,-0.14,-0.03,-0.39
11:00:57:2667,9.83,0.20,0.91,-0.19,-0.13,-0.45
11:00:57:2867,9.84,0.18,0.92,-0.22,-0.19,-0.33
11:00:57:3067,9.84,0.18,0.89,-0.27,-0.14,-0.37
11:00:57:3266,9.82,0.17,0.90,-0.14,-0.08,-0.42
11:00:57:3467,9.84,0.17,0.89,-0.18,-0.19,-0.36
11:00:57:3666,9.83,0.18,0.88,-0.28,-0.05,-0.39
11:00:57:3866,9.82,0.21,0.88,-0.21,-0.16,-0.33
11:00:57:4066,9.83,0.16,0.88,-0.24,-0.20,-0.42
11:00:57:4266,9.82,0.17,0.91,-0.20,-0.20,-0.34
11:00:57:4466,9.83,0.18,0.88,-0.16,-0.16,-0.40
11:00:57:4666,9.83,0.18,0.89,-0.20,-0.17,-0.31
11:00:57:4867,9.83,0.19,0.90,-0.24,-0.20,-0.28
11:00:57:5066,9.85,0.17,0.89,-0.26,-0.11,-0.35
11:00:57:5267,9.86,0.20,0.89,-0.21,-0.16,-0.37
11:00:57:5466,9.82,0.20,0.89,-0.19,-0.12,-0.41
11:00:57:5667,9.85,0.15,0.89,-0.23,-0.11,-0.43
11:00:57:5867,9.83,0.17,0.90,-0.18,-0.08,-0.29
11:00:57:6067,9.84,0.20,0.86,-0.14,-0.16,-0.34
11:00:57:6267,9.84,0.17,0.90,-0.14,0.02,-0.46
11:00:57:6467,9.84,0.18,0.89,-0.29,-0.19,-0.42
11:00:57:6667,9.83,0.19,0.88,-0.26,-0.26,-0.40
11:00:57:6867,9.84,0.18,0.90,-0.26,-0.09,-0.35
11:00:57:7067,9.83,0.19,0.91,-0.27,-0.05,-0.43
11:00:57:7267,9.80,0.18,0.91,-0.23,-0.04,-0.39
11:00:57:7467,9.84,0.20,0.89,-0.12,-0.11,-0.33
11:00:57:7667,9.86,0.17,0.88,-0.28,-0.18,-0.31
11:00:57:7867,9.82,0.17,0.91,-0.14,-0.05,-0.36
11:00:57:8067,9.84,0.17,0.90,-0.20,-0.09,-0.32
11:00:57:8267,9.82,0.16,0.89,-0.28,-0.13,-0.30
11:00:57:8467,9.82,0.16,0.87,-0.06,0.03,-0.34
11:00:57:8667,9.83,0.17,0.90,-0.18,-0.03,-0.34
11:00:57:8867,9.83,0.18,0.90,-0.21,-0.26,-0.38
11:00:57:9067,9.83,0.17,0.91,-0.17,-0.01,-0.39
11:00:57:9267,9.83,0.18,0.92,-0.23,-0.06,-0.44
11:00:57:9467,9.85,0.18,0.88,-0.24,-0.13,-0.35
11:00:57:9667,9.84,0.18,0.91,-0.19,0.13,-0.36
11:00:57:9867,9.82,0.20,0.89,-0.16,-0.13,-0.37
11:00:58:0067,9.83,0.20,0.90,-0.18,-0.12,-0.38
11:00:58:0267,9.84,0.17,0.89,-0.23,-0.28,-0.34
11:00:58:0467,9.84,0.19,0.87,-0.28,-0.11,-0.45
11:00:58:0667,9.83,0.18,0.89,-0.26,-0.13,-0.37
11:00:58:0868,9.84,0.17,0.88,-0.28,-0.22,-0.31
11:00:58:1068,9.86,0.18,0.89,-0.14,-0.07,-0.35
11:00:58:1267,9.83,0.18,0.92,-0.23,-0.15,-0.31
11:00:58:1467,9.84,0.20,0.90,-0.20,-0.18,-0.33
11:00:58:1667,9.85,0.18,0.89,-0.21,-0.20,-0.36
11:00:58:1867,9.84,0.18,0.91,-0.20,-0.20,-0.33
11:00:58:2067,9.84,0.16,0.91,-0.31,-0.16,-0.38
11:00:58:2267,9.85,0.20,0.92,-0.22,-0.14,-0.33
11:00:58:2467,9.84,0.16,0.88,-0.22,-0.05,-0.40
11:00:58:2667,9.85,0.16,0.90,-0.26,-0.02,-0.43
11:00:58:2868,9.86,0.19,0.92,-0.20,-0.06,-0.42
11:00:58:3067,9.84,0.19,0.90,-0.31,-0.19,-0.32
11:00:58:3268,9.83,0.19,0.87,-0.26,-0.19,-0.34
11:00:58:3468,9.82,0.19,0.89,-0.26,-0.18,-0.38
11:00:58:3668,9.86,0.18,0.93,-0.14,-0.20,-0.31
11:00:58:3868,9.80,0.18,0.90,-0.23,-0.19,-0.29
11:00:58:4068,9.87,0.17,0.92,-0.30,-0.22,-0.32
11:00:58:4268,9.83,0.18,0.89,-0.20,-0.01,-0.37
11:00:58:4468,9.86,0.18,0.92,-0.35,-0.25,-0.33
11:00:58:4668,9.83,0.19,0.92,-0.25,-0.13,-0.34
11:00:58:4868,9.85,0.18,0.87,-0.20,-0.03,-0.39
11:00:58:5068,9.84,0.18,0.91,-0.17,-0.14,-0.38
11:00:58:5268,9.84,0.16,0.91,-0.13,-0.22,-0.43
11:00:58:5468,9.83,0.17,0.90,-0.23,-0.29,-0.35
11:00:58:5668,9.83,0.17,0.89,-0.23,0.04,-0.36
11:00:58:5869,9.83,0.20,0.89,-0.17,-0.14,-0.34
11:00:58:6068,9.86,0.19,0.90,-0.17,-0.10,-0.40
11:00:58:6268,9.82,0.17,0.92,-0.28,-0.07,-0.40
11:00:58:6468,9.86,0.18,0.92,-0.27,-0.19,-0.30
11:00:58:6668,9.82,0.17,0.86,-0.25,-0.04,-0.37
11:00:58:6868,9.89,0.19,0.90,-0.21,-0.18,-0.31
11:00:58:7068,9.85,0.18,0.90,-0.20,-0.03,-0.46
11:00:58:7268,9.83,0.18,0.89,-0.30,-0.12,-0.37
11:00:58:7468,9.82,0.17,0.90,-0.24,-0.16,-0.41
11:00:58:7668,9.86,0.17,0.88,-0.19,-0.01,-0.36
11:00:58:7868,9.82,0.18,0.85,-0.23,-0.18,-0.32
11:00:58:8068,9.84,0.18,0.90,-0.27,-0.23,-0.38
11:00:58:8268,9.82,0.18,0.88,-0.22,-0.06,-0.36
11:00:58:8469,9.85,0.19,0.90,-0.20,-0.06,-0.39
11:00:58:8668,9.83,0.18,0.88,-0.19,-0.20,-0.29
11:00:58:8868,9.83,0.20,0.93,-0.16,-0.13,-0.35
11:00:58:9068,9.80,0.17,0.90,-0.19,-0.01,-0.43
