Time,Ax,Ay,Az,Gx,Gy,Gz
11:12:08:7309,9.81,0.22,1.06,-0.13,-0.14,-0.33
11:12:08:7509,9.84,0.21,1.06,-0.25,-0.17,-0.42
11:12:08:7709,9.81,0.22,1.05,-0.22,-0.23,-0.37
11:12:08:7909,9.84,0.21,1.00,-0.28,-0.20,-0.35
11:12:08:8109,9.82,0.20,1.05,-0.12,-0.09,-0.37
11:12:08:8309,9.83,0.22,1.02,-0.20,-0.21,-0.36
11:12:08:8509,9.81,0.22,1.04,-0.24,-0.12,-0.37
11:12:08:8709,9.84,0.21,1.04,-0.17,-0.21,-0.31
11:12:08:8909,9.81,0.21,1.05,-0.30,-0.25,-0.35
11:12:08:9109,9.84,0.20,1.06,-0.16,-0.10,-0.36
11:12:08:9309,9.83,0.21,1.04,-0.19,-0.11,-0.32
11:12:08:9509,9.84,0.20,1.06,-0.19,-0.02,-0.37
11:12:08:9709,9.81,0.20,1.05,-0.21,-0.11,-0.29
11:12:08:9909,9.85,0.22,1.02,-0.27,-0.35,-0.32
11:12:09:0109,9.83,0.22,0.98,-0.20,-0.19,-0.39
11:12:09:0309,9.79,0.21,1.06,-0.24,-0.06,-0.40
11:12:09:0509,9.80,0.24,1.05,-0.28,-0.08,-0.30
11:12:09:0709,9.84,0.22,1.04,-0.24,-0.11,-0.36
11:12:09:0909,9.85,0.25,1.00,-0.25,-0.22,-0.38
11:12:09:1109,9.83,0.21,1.07,-0.11,-0.06,-0.39
11:12:09:1309,9.85,0.20,1.05,-0.21,-0.17,-0.34
11:12:09:1509,9.84,0.21,1.09,-0.23,-0.07,-0.32
11:12:09:1709,9.83,0.23,1.02,-0.24,-0.22,-0.30
11:12:09:1910,9.81,0.21,1.01,-0.12,0.05,-0.39
11:12:09:2110,9.82,0.20,1.07,-0.17,-0.04,-0.40
11:12:09:2310,9.84,0.20,1.04,-0.17,-0.16,-0.31
11:12:09:2509,9.77,0.22,1.04,-0.21,-0.20,-0.32
11:12:09:2709,9.83,0.20,1.04,-0.19,-0.11,-0.29
11:12:09:2909,9.84,0.20,1.03,-0.13,-0.05,-0.35
11:12:09:3110,9.83,0.19,1.04,-0.13,0.02,-0.33
11:12:09:3309,9.81,0.22,1.04,-0.24,-0.23,-0.34
11:12:09:3509,9.83,0.23,1.03,-0.17,-0.01,-0.33
11:12:09:3709,9.82,0.20,1.02,-0.18,-0.13,-0.26
11:12:09:3909,9.83,0.23,1.07,-0.22,-0.21,-0.31
11:12:09:4109,9.82,0.20,1.04,-0.28,-0.34,-0.38
11:12:09:4309,9.83,0.20,1.03,-0.21,-0.09,-0.29
11:12:09:4509,9.82,0.22,1.04,-0.21,-0.12,-0.32
11:12:09:4709,9.84,0.21,1.04,-0.17,-0.21,-0.33
11:12:09:4909,9.83,0.22,1.01,-0.12,-0.07,-0.34
11:12:09:5109,9.84,0.20,1.07,-0.20,-0.25,-0.31
11:12:09:5309,9.81,0.22,1.04,-0.18,-0.26,-0.40
11:12:09:5509,9.83,0.22,1.07,-0.25,-0.11,-0.34
11:12:09:5709,9.82,0.21,1.01,-0.23,-0.06,-0.36
11:12:09:5909,9.81,0.21,1.06,-0.15,-0.02,-0.31
11:12:09:6109,9.86,0.21,1.03,-0.21,-0.19,-0.35
11:12:09:6309,9.83,0.21,1.04,-0.19,-0.03,-0.29
11:12:09:6509,9.83,0.21,1.05,-0.23,-0.24,-0.37
11:12:09:6709,9.82,0.20,1.01,-0.19,-0.17,-0.38
11:12:09:6910,9.82,0.21,1.06,-0.19,-0.11,-0.37
11:12:09:7109,9.82,0.22,1.01,-0.10,-0.04,-0.42
11:12:09:7309,9.84,0.19,1.05,-0.14,-0.04,-0.37
11:12:09:7509,9.83,0.21,1.07,-0.26,-0.15,-0.43
11:12:09:7709,9.82,0.20,1.05,-0.16,-0.06,-0.38
11:12:09:7910,9.82,0.20,1.02,-0.28,-0.25,-0.36
11:12:09:8110,9.84,0.20,1.02,-0.26,-0.12,-0.34
11:12:09:8310,9.80,0.21,1.04,-0.34,-0.23,-0.32
11:12:09:8510,9.82,0.21,1.05,-0.14,-0.10,-0.38
11:12:09:8710,9.84,0.20,1.05,-0.17,-0.02,-0.43
11:12:09:8910,9.86,0.21,1.02,-0.22,-0.02,-0.39
11:12:09:9110,9.82,0.20,1.06,-0.23,-0.03,-0.31
11:12:09:9310,9.82,0.22,1.02,-0.23,-0.10,-0.40
11:12:09:9510,9.82,0.20,1.04,-0.12,0.00,-0.39
11:12:09:9710,9.83,0.22,1.03,-0.21,-0.15,-0.37
11:12:09:9910,9.84,0.20,1.03,-0.20,-0.18,-0.37
11:12:10:0110,9.82,0.23,1.03,-0.27,-0.12,-0.33
11:12:10:0310,9.82,0.20,1.00,-0.18,-0.11,-0.23
11:12:10:0510,9.82,0.22,1.06,-0.31,-0.21,-0.25
11:12:10:0710,9.81,0.20,1.06,-0.22,-0.15,-0.40
11:12:10:0910,9.81,0.20,1.03,-0.18,-0.09,-0.41
11:12:10:1110,9.84,0.20,1.02,-0.25,-0.19,-0.28
11:12:10:1310,9.83,0.20,1.02,-0.21,-0.14,-0.36
11:12:10:1510,9.82,0.20,1.04,-0.16,-0.20,-0.28
11:12:10:1710,9.82,0.22,1.05,-0.25,-0.22,-0.37
11:12:10:1911,9.81,0.22,1.05,-0.20,0.04,-0.44
11:12:10:2110,9.83,0.20,1.05,-0.14,-0.23,-0.34
11:12:10:2310,9.81,0.21,1.05,-0.12,0.04,-0.39
11:12:10:2510,9.85,0.21,1.03,-0.24,-0.24,-0.36
11:12:10:2710,9.82,0.20,1.03,-0.21,-0.02,-0.37
11:12:10:2910,9.83,0.19,1.01,-0.15,-0.20,-0.35
11:12:10:3110,9.83,0.21,1.03,-0.28,-0.19,-0.36
11:12:10:3310,9.84,0.22,1.03,-0.25,-0.01,-0.47
11:12:10:3510,9.80,0.21,1.02,-0.14,-0.11,-0.36
11:12:10:3710,9.82,0.21,1.05,-0.19,-0.06,-0.37
11:12:10:3910,9.81,0.20,1.06,-0.19,-0.10,-0.44
11:12:10:4110,9.83,0.21,1.04,-0.21,-0.12,-0.44
11:12:10:4310,9.83,0.20,1.04,-0.20,-0.06,-0.39
11:12:10:4511,9.84,0.22,1.02,-0.23,-0.23,-0.38
11:12:10:4710,9.83,0.21,1.06,-0.26,-0.16,-0.34
11:12:10:4910,9.83,0.21,1.04,-0.28,-0.20,-0.32
11:12:10:5110,9.82,0.20,1.01,-0.20,-0.09,-0.40
11:12:10:5310,9.85,0.22,1.04,-0.15,0.03,-0.37
11:12:10:5510,9.81,0.19,1.03,-0.10,-0.04,-0.38
11:12:10:5710,9.83,0.23,1.05,-0.14,0.04,-0.37
11:12:10:5911,9.81,0.22,1.06,-0.20,-0.13,-0.30
11:12:10:6111,9.82,0.21,1.04,-0.16,-0.14,-0.28
11:12:10:6311,9.80,0.21,1.06,-0.23,-0.10,-0.42
11:12:10:6511,9.82,0.20,1.01,-0.12,-0.07,-0.34
11:12:10:6711,9.81,0.20,1.04,-0.16,-0.08,-0.28
11:12:10:6911,9.85,0.21,1.06,-0.27,-0.21,-0.40
11:12:10:7111,9.84,0.22,1.04,-0.26,-0.15,-0.34
11:12:10:7311,9.82,0.20,1.03,-0.16,-0.19,-0.35
11:12:10:7511,9.79,0.19,1.04,-0.19,-0.12,-0.34
11:12:10:7711,9.80,0.22,1.06,-0.20,-0.15,-0.31
11:12:10:7911,9.80,0.21,1.04,-0.25,-0.17,-0.25
11:12:10:8111,9.84,0.22,1.03,-0.30,-0.10,-0.34
11:12:10:8311,9.82,0.20,1.01,-0.17,-0.11,-0.43
11:12:10:8511,9.80,0.20,1.04,-0.13,-0.11,-0.36
11:12:10:8711,9.84,0.20,1.05,-0.21,-0.12,-0.41
11:12:10:8911,9.80,0.20,1.07,-0.19,-0.07,-0.37
11:12:10:9111,9.81,0.20,1.01,-0.24,-0.29,-0.42
11:12:10:9311,9.84,0.21,1.00,-0.16,-0.09,-0.38
11:12:10:9511,9.80,0.22,1.06,-0.12,0.00,-0.39
11:12:10:9711,9.85,0.20,1.05,-0.20,-0.12,-0.41
11:12:10:9911,9.83,0.20,1.03,-0.20,-0.11,-0.37
11:12:11:0111,9.84,0.20,1.06,-0.24,-0.17,-0.36
