Time,Ax,Ay,Az,Gx,Gy,Gz
11:09:02:4787,9.84,0.43,1.03,-0.21,-0.09,-0.39
11:09:02:4987,9.81,0.41,1.05,-0.16,0.02,-0.34
11:09:02:5187,9.83,0.43,1.04,-0.28,-0.09,-0.38
11:09:02:5387,9.81,0.43,1.03,-0.17,-0.13,-0.31
11:09:02:5587,9.82,0.43,1.05,-0.23,-0.30,-0.33
11:09:02:5787,9.81,0.42,1.03,-0.22,-0.12,-0.36
11:09:02:5987,9.82,0.42,1.06,-0.20,-0.03,-0.36
11:09:02:6187,9.79,0.40,1.01,-0.17,-0.21,-0.28
11:09:02:6387,9.81,0.41,1.05,-0.19,-0.23,-0.34
11:09:02:6588,9.83,0.43,1.02,-0.23,-0.23,-0.34
11:09:02:6787,9.81,0.43,1.03,-0.24,-0.01,-0.30
11:09:02:6987,9.81,0.42,1.04,-0.15,-0.03,-0.43
11:09:02:7187,9.82,0.42,1.03,-0.24,-0.20,-0.33
11:09:02:7387,9.83,0.40,1.02,-0.16,-0.04,-0.33
11:09:02:7587,9.82,0.43,1.01,-0.23,-0.26,-0.29
11:09:02:7787,9.80,0.42,1.06,-0.19,-0.06,-0.31
11:09:02:7987,9.80,0.43,1.06,-0.07,-0.14,-0.37
11:09:02:8187,9.80,0.42,1.03,-0.19,-0.09,-0.36
11:09:02:8387,9.80,0.43,1.03,-0.29,-0.04,-0.40
11:09:02:8587,9.81,0.42,1.04,-0.23,0.13,-0.37
11:09:02:8787,9.81,0.43,1.03,-0.28,-0.26,-0.39
11:09:02:8987,9.81,0.44,1.02,-0.08,-0.14,-0.34
11:09:02:9188,9.81,0.43,1.03,-0.23,-0.02,-0.36
11:09:02:9387,9.81,0.42,1.03,-0.18,-0.11,-0.30
11:09:02:9588,9.83,0.43,1.07,-0.20,-0.10,-0.35
11:09:02:9787,9.80,0.42,1.03,-0.19,-0.15,-0.26
11:09:02:9988,9.82,0.43,1.04,-0.31,-0.16,-0.29
11:09:03:0187,9.82,0.42,1.02,-0.32,-0.15,-0.39
11:09:03:0388,9.82,0.42,1.05,-0.19,-0.09,-0.40
11:09:03:0588,9.81,0.45,1.04,-0.12,-0.15,-0.35
11:09:03:0788,9.82,0.42,1.03,-0.12,-0.01,-0.39
11:09:03:0988,9.82,0.41,1.05,-0.27,-0.08,-0.34
11:09:03:1188,9.83,0.43,1.04,-0.14,-0.19,-0.31
11:09:03:1388,9.85,0.43,1.03,-0.15,-0.20,-0.33
11:09:03:1589,9.82,0.43,1.05,-0.17,0.03,-0.31
11:09:03:1788,9.83,0.44,1.00,-0.24,-0.21,-0.37
11:09:03:1988,9.82,0.45,1.06,-0.29,-0.26,-0.34
11:09:03:2188,9.83,0.43,1.03,-0.27,-0.06,-0.41
11:09:03:2388,9.82,0.42,1.05,-0.28,-0.23,-0.33
11:09:03:2588,9.83,0.41,1.04,-0.20,-0.16,-0.37
11:09:03:2788,9.81,0.44,1.04,-0.15,-0.22,-0.30
11:09:03:2988,9.80,0.41,1.02,-0.24,-0.13,-0.34
11:09:03:3189,9.83,0.43,1.04,-0.24,-0.02,-0.28
11:09:03:3389,9.80,0.40,1.03,-0.16,-0.12,-0.40
11:09:03:3589,9.85,0.43,1.04,-0.17,-0.05,-0.32
11:09:03:3789,9.81,0.42,1.03,-0.26,-0.27,-0.33
11:09:03:3989,9.81,0.41,1.03,-0.14,-0.14,-0.32
