Time,Ax,Ay,Az,Gx,Gy,Gz
14:40:56:9039,-0.07,0.14,10.04,-0.17,-0.05,-0.39
14:40:56:9239,-0.07,0.13,10.02,-0.19,-0.20,-0.39
14:40:56:9439,-0.06,0.12,10.08,-0.28,-0.28,-0.28
14:40:56:9639,-0.08,0.13,10.08,-0.17,-0.14,-0.33
14:40:56:9839,-0.09,0.12,10.01,-0.27,-0.19,-0.39
14:40:57:0039,-0.07,0.17,10.09,-0.15,-0.32,-0.36
14:40:57:0239,-0.09,0.11,10.04,-0.22,-0.04,-0.35
14:40:57:0439,-0.06,0.15,10.03,-0.31,-0.15,-0.34
14:40:57:0639,-0.09,0.12,10.03,-0.20,-0.05,-0.26
14:40:57:0839,-0.09,0.15,10.09,-0.24,-0.09,-0.33
14:40:57:1039,-0.08,0.12,10.01,-0.22,-0.11,-0.37
14:40:57:1239,-0.10,0.12,10.04,-0.20,-0.12,-0.28
14:40:57:1439,-0.06,0.12,10.02,-0.15,0.02,-0.33
14:40:57:1639,-0.08,0.12,10.05,-0.21,-0.10,-0.37
14:40:57:1839,-0.07,0.13,10.03,-0.39,-0.22,-0.33
14:40:57:2039,-0.07,0.09,10.06,-0.28,-0.19,-0.40
14:40:57:2239,-0.08,0.11,10.09,-0.16,-0.27,-0.31
14:40:57:2439,-0.08,0.13,10.02,-0.27,-0.14,-0.39
14:40:57:2639,-0.10,0.13,10.03,-0.24,-0.07,-0.38
14:40:57:2839,-0.06,0.11,10.04,-0.23,-0.29,-0.36
14:40:57:3039,-0.06,0.14,10.07,-0.15,-0.25,-0.40
14:40:57:3239,-0.09,0.13,10.01,-0.22,-0.17,-0.39
14:40:57:3439,-0.06,0.13,9.99,-0.18,-0.14,-0.26
14:40:57:3640,-0.07,0.12,10.07,-0.21,-0.14,-0.34
14:40:57:3840,-0.06,0.15,10.09,-0.26,-0.16,-0.40
14:40:57:4039,-0.09,0.12,10.02,-0.20,-0.20,-0.31
14:40:57:4239,-0.08,0.16,10.06,-0.20,-0.12,-0.38
14:40:57:4439,-0.07,0.12,10.06,-0.17,-0.11,-0.40
14:40:57:4639,-0.07,0.14,10.01,-0.17,-0.24,-0.40
14:40:57:4839,-0.08,0.15,10.05,-0.36,-0.31,-0.33
14:40:57:5039,-0.08,0.14,10.01,-0.18,-0.07,-0.34
14:40:57:5239,-0.07,0.13,10.04,-0.28,-0.21,-0.37
14:40:57:5439,-0.06,0.14,10.08,-0.20,-0.09,-0.33
14:40:57:5640,-0.09,0.12,10.02,-0.16,-0.04,-0.38
14:40:57:5839,-0.08,0.13,10.00,-0.27,-0.12,-0.27
14:40:57:6040,-0.08,0.14,10.02,-0.24,-0.29,-0.30
14:40:57:6240,-0.05,0.13,10.05,-0.19,-0.17,-0.42
14:40:57:6440,-0.08,0.12,10.01,-0.28,-0.21,-0.31
14:40:57:6640,-0.08,0.14,10.03,-0.22,-0.08,-0.29
14:40:57:6840,-0.09,0.12,10.00,-0.20,-0.15,-0.41
