Time,Ax,Ay,Az,Gx,Gy,Gz
16:56:27:3774,3.03,0.41,-8.98,-0.20,-0.08,-0.31
16:56:27:3975,3.05,0.41,-9.03,-0.28,0.00,-0.37
16:56:27:4174,3.01,0.39,-8.97,-0.32,-0.11,-0.33
16:56:27:4374,3.00,0.41,-9.00,-0.11,-0.26,-0.32
16:56:27:4574,3.00,0.41,-8.97,-0.14,-0.11,-0.32
16:56:27:4774,3.04,0.41,-9.00,-0.17,-0.08,-0.38
16:56:27:4974,3.04,0.40,-9.04,-0.29,-0.02,-0.34
16:56:27:5174,2.98,0.39,-8.98,-0.20,-0.26,-0.36
16:56:27:5374,3.00,0.43,-8.94,-0.19,-0.25,-0.33
16:56:27:5574,3.02,0.40,-9.02,-0.21,0.08,-0.40
16:56:27:5774,3.04,0.40,-8.98,-0.24,0.00,-0.37
16:56:27:5975,3.01,0.41,-8.98,-0.23,-0.45,-0.33
16:56:27:6175,3.04,0.39,-9.02,-0.11,0.04,-0.38
16:56:27:6375,2.98,0.40,-8.99,-0.20,-0.16,-0.39
16:56:27:6575,3.01,0.39,-8.95,-0.24,-0.09,-0.40
16:56:27:6775,3.03,0.40,-9.01,-0.26,0.02,-0.40
16:56:27:6975,3.01,0.42,-8.99,-0.13,0.02,-0.47
16:56:27:7175,2.99,0.41,-8.99,-0.12,-0.19,-0.36
16:56:27:7375,3.00,0.41,-8.99,-0.26,-0.15,-0.33
16:56:27:7575,3.04,0.42,-9.02,-0.20,0.00,-0.39
16:56:27:7775,3.03,0.38,-8.97,-0.27,-0.05,-0.40
16:56:27:7975,3.00,0.41,-9.01,-0.29,-0.07,-0.42
16:56:27:8175,2.98,0.41,-8.99,-0.09,-0.17,-0.36
16:56:27:8375,3.02,0.40,-8.97,-0.32,-0.18,-0.31
16:56:27:8575,3.04,0.43,-9.04,-0.20,-0.06,-0.37
16:56:27:8775,3.02,0.39,-9.01,-0.25,-0.22,-0.37
16:56:27:8976,3.01,0.42,-8.97,-0.17,-0.20,-0.31
16:56:27:9175,3.02,0.41,-9.03,-0.20,-0.01,-0.45
16:56:27:9375,3.01,0.41,-8.98,-0.20,-0.07,-0.39
16:56:27:9575,3.01,0.40,-8.99,-0.25,-0.16,-0.38
16:56:27:9775,3.04,0.36,-8.99,-0.31,-0.06,-0.34
16:56:27:9975,3.02,0.39,-8.98,-0.24,-0.41,-0.32
16:56:28:0175,3.01,0.38,-8.99,-0.21,-0.20,-0.29
16:56:28:0375,3.01,0.40,-8.98,-0.23,-0.19,-0.37
16:56:28:0575,3.03,0.39,-9.00,-0.36,-0.04,-0.35
16:56:28:0775,3.02,0.41,-8.95,-0.11,-0.10,-0.37
16:56:28:0975,3.00,0.38,-9.02,-0.21,-0.15,-0.37
16:56:28:1175,3.00,0.44,-8.94,-0.20,-0.06,-0.40
16:56:28:1375,3.01,0.39,-9.00,-0.27,0.00,-0.43
16:56:28:1575,3.03,0.44,-8.95,-0.35,-0.17,-0.33
16:56:28:1775,3.00,0.39,-8.96,-0.20,-0.22,-0.32
16:56:28:1975,3.02,0.41,-9.00,-0.36,-0.15,-0.36
16:56:28:2175,2.99,0.43,-8.93,-0.15,-0.21,-0.37
16:56:28:2375,3.02,0.38,-8.99,-0.28,0.05,-0.36
16:56:28:2575,3.01,0.42,-8.99,-0.11,-0.24,-0.34
16:56:28:2775,3.02,0.38,-9.06,-0.23,0.14,-0.33
16:56:28:2975,2.97,0.42,-8.93,-0.12,-0.26,-0.37
16:56:28:3175,3.01,0.40,-9.03,-0.12,0.02,-0.30
16:56:28:3375,3.00,0.40,-8.98,-0.17,0.06,-0.36
16:56:28:3575,3.02,0.42,-9.01,-0.07,-0.21,-0.42
16:56:28:3775,3.02,0.39,-8.97,-0.25,-0.05,-0.33
16:56:28:3976,2.99,0.37,-8.98,-0.18,-0.20,-0.36
16:56:28:4175,3.04,0.41,-9.02,-0.19,0.21,-0.34
16:56:28:4375,3.03,0.41,-9.01,-0.10,-0.09,-0.39
16:56:28:4575,3.05,0.40,-9.02,-0.26,0.11,-0.36
16:56:28:4775,3.02,0.42,-8.95,-0.17,-0.39,-0.32
16:56:28:4975,3.04,0.41,-9.06,-0.13,0.08,-0.41
16:56:28:5175,3.03,0.40,-9.04,-0.34,-0.20,-0.33
16:56:28:5375,3.01,0.42,-8.99,-0.18,-0.07,-0.31
16:56:28:5575,3.02,0.42,-9.00,-0.32,0.09,-0.39
16:56:28:5775,2.99,0.40,-8.98,-0.15,-0.29,-0.33
16:56:28:5976,3.03,0.40,-9.02,-0.25,0.05,-0.39
16:56:28:6176,2.98,0.39,-8.95,-0.14,-0.33,-0.38
16:56:28:6376,3.04,0.37,-9.04,-0.32,-0.09,-0.37
16:56:28:6576,3.02,0.39,-9.01,-0.20,-0.05,-0.32
16:56:28:6776,3.01,0.41,-9.03,-0.24,-0.26,-0.32
16:56:28:6976,3.03,0.41,-9.03,-0.24,-0.18,-0.35
16:56:28:7176,3.00,0.41,-9.01,-0.26,-0.19,-0.37
16:56:28:7376,3.04,0.41,-9.03,-0.15,0.14,-0.39
16:56:28:7576,3.02,0.42,-8.97,-0.20,-0.21,-0.37
16:56:28:7776,3.02,0.40,-9.01,-0.28,-0.08,-0.45
16:56:28:7976,3.02,0.40,-8.99,-0.21,-0.11,-0.41
16:56:28:8176,3.03,0.40,-8.97,-0.21,-0.13,-0.37
16:56:28:8376,3.04,0.40,-9.04,-0.34,-0.09,-0.32
16:56:28:8576,3.02,0.40,-9.00,-0.29,-0.22,-0.28
16:56:28:8776,3.01,0.41,-8.97,-0.10,-0.14,-0.32
16:56:28:8976,3.03,0.42,-9.02,-0.21,-0.20,-0.37
16:56:28:9176,3.00,0.39,-8.97,-0.15,-0.15,-0.37
16:56:28:9376,3.02,0.43,-9.00,-0.38,-0.23,-0.31
16:56:28:9576,3.01,0.39,-8.97,-0.19,-0.04,-0.31
16:56:28:9776,3.00,0.43,-8.98,-0.18,-0.15,-0.32
16:56:28:9976,3.01,0.40,-9.01,-0.16,0.03,-0.33
16:56:29:0176,3.02,0.40,-8.99,-0.19,-0.10,-0.37
16:56:29:0376,2.99,0.42,-8.99,-0.34,-0.19,-0.37
16:56:29:0576,3.03,0.39,-9.03,-0.20,0.10,-0.47
16:56:29:0776,3.03,0.40,-9.00,-0.18,-0.11,-0.34
16:56:29:0976,3.01,0.41,-9.01,-0.26,-0.08,-0.39
16:56:29:1176,3.03,0.41,-8.99,-0.15,-0.12,-0.31
16:56:29:1376,3.03,0.39,-9.01,-0.33,-0.08,-0.35
16:56:29:1576,3.02,0.41,-8.99,-0.10,-0.14,-0.39
16:56:29:1776,2.98,0.40,-8.94,-0.31,-0.28,-0.30
16:56:29:1976,3.02,0.40,-9.06,-0.12,0.08,-0.39
16:56:29:2175,3.02,0.43,-8.89,-0.21,-0.42,-0.35
16:56:29:2375,3.01,0.38,-9.07,-0.28,0.05,-0.36
16:56:29:2575,3.00,0.43,-9.00,-0.17,-0.25,-0.32
16:56:29:2775,2.99,0.37,-9.02,-0.21,-0.13,-0.34
16:56:29:2976,3.05,0.40,-9.00,-0.29,-0.05,-0.43
16:56:29:3175,2.98,0.39,-8.98,-0.17,-0.20,-0.35
16:56:29:3375,3.04,0.43,-9.05,-0.24,-0.15,-0.34
16:56:29:3576,3.00,0.44,-8.90,-0.11,-0.30,-0.31
16:56:29:3775,3.02,0.38,-9.06,-0.30,0.05,-0.34
16:56:29:3976,3.01,0.43,-8.94,-0.19,-0.29,-0.43
16:56:29:4176,3.02,0.37,-9.04,-0.25,0.01,-0.35
16:56:29:4375,3.03,0.41,-8.99,-0.20,-0.04,-0.37
16:56:29:4575,3.02,0.41,-8.99,-0.23,-0.08,-0.44
16:56:29:4775,3.04,0.41,-9.06,-0.23,-0.04,-0.32
16:56:29:4975,2.97,0.41,-8.95,-0.09,-0.50,-0.33
16:56:29:5175,3.00,0.39,-9.03,-0.40,-0.01,-0.36
16:56:29:5375,3.00,0.43,-8.98,-0.18,-0.22,-0.35
16:56:29:5575,3.03,0.41,-9.04,-0.11,0.02,-0.28
16:56:29:5775,3.02,0.42,-8.97,-0.23,-0.42,-0.38
16:56:29:5977,3.01,0.40,-8.99,-0.27,-0.01,-0.38
16:56:29:6176,3.03,0.41,-8.96,-0.16,-0.04,-0.41
16:56:29:6376,2.99,0.41,-8.95,-0.16,-0.21,-0.37
16:56:29:6577,3.06,0.39,-9.06,-0.29,0.15,-0.36
16:56:29:6776,2.99,0.42,-8.94,-0.09,-0.40,-0.39
16:56:29:6976,3.01,0.39,-9.01,-0.34,0.02,-0.39
16:56:29:7176,3.01,0.45,-8.99,-0.20,-0.28,-0.32
16:56:29:7376,3.01,0.37,-9.01,-0.20,0.02,-0.31
16:56:29:7576,3.04,0.42,-8.98,-0.34,-0.05,-0.39
16:56:29:7776,2.99,0.42,-8.91,-0.18,-0.39,-0.28
16:56:29:7977,3.04,0.39,-9.04,-0.30,0.23,-0.42
16:56:29:8176,3.00,0.42,-8.90,-0.18,-0.30,-0.36
16:56:29:8376,3.04,0.41,-9.04,-0.23,0.15,-0.37
16:56:29:8576,3.01,0.38,-9.02,-0.17,-0.21,-0.44
16:56:29:8776,3.00,0.41,-9.00,-0.16,-0.09,-0.39
16:56:29:8977,3.03,0.42,-8.97,-0.29,-0.10,-0.29
16:56:29:9176,3.00,0.40,-8.99,-0.19,-0.20,-0.37
16:56:29:9376,3.02,0.39,-9.06,-0.22,0.10,-0.36
16:56:29:9576,2.99,0.39,-8.93,-0.05,-0.19,-0.34
16:56:29:9776,3.04,0.42,-9.06,-0.24,0.08,-0.40
16:56:29:9977,2.98,0.42,-8.94,-0.20,-0.42,-0.39
16:56:30:0176,3.04,0.40,-9.06,-0.28,0.09,-0.39
16:56:30:0376,3.01,0.40,-8.98,-0.20,-0.30,-0.35
16:56:30:0576,3.00,0.39,-8.99,-0.18,-0.19,-0.35
16:56:30:0776,3.04,0.39,-9.03,-0.36,-0.12,-0.31
16:56:30:0976,2.99,0.43,-8.95,-0.16,-0.19,-0.30
16:56:30:1176,3.03,0.40,-9.03,-0.22,0.18,-0.33
16:56:30:1376,2.99,0.41,-8.92,-0.18,-0.32,-0.30
16:56:30:1577,3.02,0.36,-9.03,-0.27,0.07,-0.30
16:56:30:1776,3.01,0.41,-8.95,-0.20,-0.15,-0.38
16:56:30:1976,3.01,0.39,-9.00,-0.20,0.07,-0.34
16:56:30:2176,3.00,0.42,-8.97,-0.20,-0.23,-0.36
16:56:30:2376,3.00,0.41,-8.94,-0.14,-0.31,-0.37
16:56:30:2576,3.04,0.40,-9.06,-0.26,0.25,-0.31
16:56:30:2776,3.00,0.42,-8.95,-0.09,-0.22,-0.33
16:56:30:2976,3.01,0.40,-9.03,-0.39,-0.12,-0.32
16:56:30:3176,3.00,0.43,-8.97,-0.16,-0.21,-0.34
16:56:30:3376,3.01,0.41,-9.01,-0.30,0.02,-0.35
16:56:30:3576,3.01,0.42,-8.98,-0.33,-0.21,-0.36
16:56:30:3776,2.99,0.40,-8.97,-0.31,-0.35,-0.40
16:56:30:3977,3.00,0.42,-9.01,-0.12,-0.09,-0.35
16:56:30:4177,2.98,0.41,-8.98,-0.18,-0.28,-0.32
16:56:30:4376,3.01,0.39,-9.03,-0.29,-0.03,-0.38
16:56:30:4576,3.04,0.40,-9.02,-0.20,-0.20,-0.46
16:56:30:4776,3.02,0.38,-8.95,-0.20,-0.03,-0.37
16:56:30:4976,3.03,0.41,-9.05,-0.21,-0.02,-0.36
16:56:30:5176,3.00,0.40,-8.93,-0.17,-0.25,-0.32
16:56:30:5376,3.02,0.39,-9.06,-0.11,-0.01,-0.31
16:56:30:5576,3.03,0.41,-8.97,-0.36,-0.20,-0.39
16:56:30:5776,3.00,0.39,-9.00,-0.26,-0.11,-0.38
16:56:30:5977,3.03,0.41,-9.01,-0.20,-0.14,-0.39
16:56:30:6177,3.01,0.39,-9.00,-0.20,-0.09,-0.37
16:56:30:6377,3.04,0.39,-9.04,-0.17,0.05,-0.40
16:56:30:6578,2.99,0.42,-8.95,-0.21,-0.25,-0.37
16:56:30:6777,3.02,0.38,-9.07,-0.29,0.15,-0.41
16:56:30:6977,2.99,0.40,-8.92,-0.27,-0.29,-0.26
16:56:30:7177,3.01,0.42,-9.02,-0.14,-0.29,-0.30
16:56:30:7377,3.02,0.41,-9.00,-0.35,-0.20,-0.32
16:56:30:7577,2.98,0.37,-8.98,-0.11,-0.12,-0.34
16:56:30:7777,3.03,0.41,-9.02,-0.16,-0.02,-0.40
16:56:30:7977,3.00,0.40,-8.97,-0.12,-0.21,-0.34
16:56:30:8177,3.02,0.42,-9.07,-0.29,0.03,-0.37
16:56:30:8377,2.99,0.38,-8.97,-0.27,-0.19,-0.37
16:56:30:8577,3.04,0.38,-9.03,-0.24,0.08,-0.41
16:56:30:8777,3.02,0.44,-8.95,-0.21,-0.29,-0.35
16:56:30:8978,3.04,0.40,-9.04,-0.23,0.00,-0.40
16:56:30:9177,3.03,0.42,-8.99,-0.24,-0.03,-0.32
16:56:30:9377,3.00,0.41,-9.00,-0.19,-0.21,-0.31
16:56:30:9577,3.04,0.41,-9.02,-0.37,-0.07,-0.35
16:56:30:9777,2.99,0.40,-8.94,-0.27,-0.12,-0.37
16:56:30:9977,3.01,0.40,-9.01,-0.23,0.11,-0.34
16:56:31:0177,3.00,0.40,-8.99,-0.21,-0.36,-0.41
16:56:31:0377,3.03,0.40,-9.02,-0.24,-0.12,-0.28
16:56:31:0577,3.03,0.38,-8.96,-0.24,-0.23,-0.34
16:56:31:0777,3.01,0.40,-8.97,-0.24,-0.16,-0.42
16:56:31:0977,3.02,0.41,-8.95,-0.12,0.05,-0.40
16:56:31:1177,2.99,0.38,-8.98,-0.22,-0.28,-0.32
16:56:31:1377,3.01,0.40,-8.98,-0.13,0.11,-0.34
16:56:31:1577,3.01,0.41,-8.96,-0.28,-0.23,-0.31
16:56:31:1777,3.04,0.39,-8.99,-0.19,0.11,-0.40
16:56:31:1977,2.99,0.43,-8.95,-0.16,-0.17,-0.43
16:56:31:2177,3.02,0.38,-9.02,-0.29,0.00,-0.42
16:56:31:2377,3.00,0.41,-9.00,-0.14,-0.04,-0.40
16:56:31:2577,2.99,0.40,-9.00,-0.18,-0.01,-0.39
16:56:31:2777,3.03,0.40,-9.01,-0.26,-0.10,-0.42
16:56:31:2977,3.00,0.41,-8.96,-0.06,-0.29,-0.41
16:56:31:3177,3.03,0.39,-9.04,-0.25,0.05,-0.44
16:56:31:3377,2.99,0.43,-8.95,-0.21,-0.30,-0.32
16:56:31:3577,3.02,0.39,-8.97,-0.24,-0.08,-0.31
16:56:31:3777,3.02,0.43,-8.99,-0.27,-0.22,-0.27
16:56:31:3978,3.02,0.39,-8.98,-0.24,-0.01,-0.32
16:56:31:4177,3.04,0.43,-9.03,-0.18,0.03,-0.37
16:56:31:4377,3.00,0.41,-8.93,-0.03,-0.14,-0.42
16:56:31:4577,3.04,0.40,-9.05,-0.19,0.11,-0.44
16:56:31:4777,2.98,0.40,-8.95,-0.26,-0.09,-0.34
16:56:31:4977,3.01,0.41,-9.02,-0.25,0.02,-0.37
16:56:31:5177,3.02,0.44,-8.99,-0.18,-0.13,-0.35
16:56:31:5377,3.00,0.40,-8.97,-0.31,-0.06,-0.35
16:56:31:5577,3.03,0.41,-9.00,-0.20,0.04,-0.36
16:56:31:5777,3.00,0.40,-8.98,-0.16,-0.34,-0.29
16:56:31:5978,3.02,0.41,-9.02,-0.33,-0.11,-0.39
16:56:31:6178,3.01,0.39,-9.02,-0.34,-0.17,-0.38
16:56:31:6378,3.03,0.39,-8.95,-0.33,-0.17,-0.39
16:56:31:6578,3.05,0.40,-9.03,-0.20,0.08,-0.35
16:56:31:6778,3.01,0.39,-8.96,-0.29,-0.13,-0.33
16:56:31:6978,2.99,0.39,-9.03,-0.15,-0.19,-0.37
16:56:31:7178,3.03,0.39,-9.02,-0.39,0.04,-0.32
16:56:31:7378,3.00,0.40,-8.97,-0.06,-0.13,-0.42
16:56:31:7578,3.01,0.40,-9.01,-0.20,0.10,-0.40
16:56:31:7778,3.02,0.40,-8.95,-0.18,-0.12,-0.31
16:56:31:7978,3.04,0.43,-9.01,-0.17,-0.12,-0.32
16:56:31:8178,2.99,0.41,-8.94,-0.28,-0.14,-0.34
16:56:31:8378,3.03,0.42,-9.01,-0.16,-0.08,-0.37
16:56:31:8578,3.01,0.41,-8.98,-0.17,0.08,-0.40
16:56:31:8778,3.01,0.42,-8.96,-0.18,-0.16,-0.42
16:56:31:8979,3.01,0.40,-9.00,-0.19,-0.09,-0.34
16:56:31:9178,3.03,0.39,-9.00,-0.20,-0.23,-0.34
16:56:31:9378,3.03,0.39,-9.02,-0.32,0.01,-0.38
16:56:31:9578,2.98,0.41,-8.94,-0.15,-0.12,-0.33
16:56:31:9778,3.01,0.37,-9.01,-0.19,-0.06,-0.37
16:56:31:9978,3.01,0.41,-9.03,-0.25,-0.03,-0.37
16:56:32:0178,3.00,0.41,-9.01,-0.16,-0.28,-0.33
16:56:32:0378,3.02,0.39,-8.98,-0.30,-0.08,-0.34
16:56:32:0578,3.02,0.43,-8.97,-0.21,-0.20,-0.37
16:56:32:0778,3.04,0.40,-9.04,-0.33,0.07,-0.34
16:56:32:0978,3.01,0.43,-8.95,-0.11,-0.22,-0.41
16:56:32:1178,3.03,0.40,-9.02,-0.09,0.01,-0.33
16:56:32:1378,3.02,0.39,-9.01,-0.21,-0.12,-0.39
16:56:32:1578,3.02,0.43,-8.99,-0.12,-0.17,-0.43
16:56:32:1778,3.00,0.39,-9.02,-0.19,-0.19,-0.32
16:56:32:1978,3.02,0.39,-8.99,0.01,-0.19,-0.39
16:56:32:2178,3.02,0.42,-8.99,-0.20,0.01,-0.39
16:56:32:2378,3.01,0.38,-8.98,-0.18,-0.07,-0.33
16:56:32:2578,3.03,0.42,-9.04,-0.18,-0.10,-0.42
16:56:32:2778,3.01,0.39,-9.01,-0.25,-0.13,-0.33
16:56:32:2978,3.02,0.40,-8.98,-0.14,-0.12,-0.33
16:56:32:3178,3.03,0.41,-9.02,-0.23,0.04,-0.26
16:56:32:3378,3.02,0.45,-8.97,-0.14,-0.29,-0.36
16:56:32:3578,3.02,0.37,-9.03,-0.32,-0.04,-0.37
16:56:32:3778,3.00,0.39,-8.95,-0.17,-0.03,-0.42
16:56:32:3979,3.03,0.37,-9.00,-0.11,0.00,-0.40
16:56:32:4178,3.01,0.42,-9.03,-0.32,-0.11,-0.35
16:56:32:4378,3.00,0.41,-8.94,-0.17,-0.23,-0.35
16:56:32:4578,3.03,0.41,-9.02,-0.31,-0.01,-0.31
16:56:32:4778,3.00,0.39,-8.96,-0.15,-0.16,-0.35
16:56:32:4978,3.03,0.40,-9.02,-0.18,-0.10,-0.33
16:56:32:5178,3.03,0.39,-8.97,-0.29,0.09,-0.43
16:56:32:5378,3.02,0.40,-9.00,-0.24,-0.17,-0.41
16:56:32:5578,3.01,0.45,-8.99,-0.17,-0.14,-0.35
16:56:32:5778,3.01,0.39,-8.99,-0.31,-0.28,-0.34
16:56:32:5979,3.01,0.40,-9.01,-0.20,-0.03,-0.37
16:56:32:6179,3.01,0.41,-8.96,-0.13,-0.16,-0.37
16:56:32:6379,3.04,0.43,-9.06,-0.21,0.00,-0.39
16:56:32:6579,3.02,0.40,-8.97,-0.17,-0.20,-0.36
16:56:32:6779,3.02,0.39,-8.99,-0.17,-0.10,-0.40
