Time,Ax,Ay,Az,Gx,Gy,Gz
12:16:58:5560,0.19,9.99,0.17,-0.25,-0.21,-0.34
12:16:58:5760,0.19,10.03,0.17,-0.19,-0.06,-0.37
12:16:58:5960,0.19,10.00,0.18,-0.16,-0.21,-0.35
12:16:58:6160,0.19,10.03,0.19,-0.13,0.12,-0.37
12:16:58:6360,0.19,10.01,0.19,-0.20,-0.19,-0.36
12:16:58:6560,0.20,10.02,0.19,-0.16,-0.17,-0.31
12:16:58:6760,0.19,10.02,0.19,-0.20,-0.06,-0.36
12:16:58:6960,0.19,10.02,0.17,-0.34,-0.16,-0.41
12:16:58:7160,0.19,9.99,0.18,-0.18,-0.07,-0.39
12:16:58:7360,0.19,10.02,0.16,-0.13,0.04,-0.41
12:16:58:7561,0.19,10.02,0.18,-0.30,-0.16,-0.39
12:16:58:7760,0.19,10.01,0.16,-0.17,-0.10,-0.37
12:16:58:7960,0.19,9.99,0.19,-0.20,-0.05,-0.41
12:16:58:8160,0.19,10.00,0.17,-0.21,-0.04,-0.32
12:16:58:8360,0.19,10.00,0.17,-0.17,-0.17,-0.40
12:16:58:8560,0.19,10.03,0.18,-0.19,-0.09,-0.36
12:16:58:8760,0.19,10.00,0.19,-0.15,-0.03,-0.32
12:16:58:8960,0.19,10.05,0.19,-0.20,-0.07,-0.34
12:16:58:9160,0.19,10.00,0.17,-0.07,-0.01,-0.35
12:16:58:9360,0.19,10.01,0.19,-0.14,-0.08,-0.36
12:16:58:9560,0.19,10.03,0.18,-0.20,-0.01,-0.36
12:16:58:9760,0.19,10.04,0.16,-0.19,-0.11,-0.38
12:16:58:9960,0.19,10.00,0.18,-0.13,0.00,-0.33
12:16:59:0161,0.19,10.01,0.18,-0.23,-0.18,-0.32
12:16:59:0360,0.19,10.01,0.18,-0.16,-0.11,-0.37
12:16:59:0560,0.19,10.03,0.17,-0.26,-0.16,-0.30
12:16:59:0760,0.19,10.00,0.17,-0.22,-0.21,-0.34
12:16:59:0960,0.19,10.01,0.15,-0.28,-0.23,-0.36
12:16:59:1160,0.20,10.02,0.19,-0.24,-0.16,-0.34
12:16:59:1361,0.18,10.03,0.15,-0.10,-0.16,-0.37
12:16:59:1561,0.19,10.01,0.19,-0.29,-0.17,-0.32
12:16:59:1761,0.20,10.02,0.18,-0.28,-0.18,-0.34
12:16:59:1961,0.19,9.98,0.17,-0.24,-0.15,-0.28
12:16:59:2161,0.21,10.02,0.15,-0.22,-0.17,-0.32
12:16:59:2361,0.19,10.02,0.18,-0.17,0.05,-0.31
12:16:59:2561,0.19,10.00,0.19,-0.20,-0.12,-0.32
12:16:59:2761,0.19,10.00,0.17,-0.23,-0.07,-0.31
12:16:59:2961,0.19,10.03,0.18,-0.31,-0.20,-0.35
12:16:59:3161,0.19,10.00,0.19,-0.20,-0.05,-0.32
12:16:59:3361,0.19,10.02,0.19,-0.24,-0.02,-0.38
12:16:59:3562,0.20,10.01,0.16,-0.16,-0.14,-0.33
12:16:59:3762,0.19,10.01,0.14,-0.29,-0.13,-0.41
