Time,Ax,Ay,Az,Gx,Gy,Gz
12:03:42:9924,0.17,9.99,0.37,-0.17,-0.20,-0.41
12:03:43:0124,0.17,10.00,0.34,-0.12,-0.02,-0.44
12:03:43:0324,0.15,10.00,0.33,-0.12,-0.08,-0.38
12:03:43:0524,0.18,9.99,0.36,-0.26,-0.21,-0.29
12:03:43:0724,0.16,9.99,0.37,-0.05,-0.13,-0.42
12:03:43:0924,0.15,9.98,0.34,-0.18,-0.17,-0.36
12:03:43:1124,0.15,9.98,0.37,-0.18,-0.20,-0.39
12:03:43:1325,0.17,10.00,0.36,-0.26,-0.17,-0.33
12:03:43:1524,0.16,10.00,0.37,-0.12,-0.06,-0.33
12:03:43:1724,0.17,10.00,0.36,-0.12,-0.09,-0.35
12:03:43:1924,0.16,10.00,0.36,-0.19,-0.23,-0.28
12:03:43:2124,0.14,9.99,0.37,-0.11,-0.31,-0.29
12:03:43:2324,0.17,9.98,0.35,-0.25,-0.26,-0.31
12:03:43:2524,0.16,10.00,0.36,-0.16,-0.11,-0.35
12:03:43:2724,0.17,9.97,0.37,-0.19,-0.06,-0.34
12:03:43:2924,0.17,10.00,0.37,-0.22,-0.20,-0.42
12:03:43:3124,0.16,9.99,0.34,-0.24,0.05,-0.33
12:03:43:3324,0.15,10.00,0.34,-0.20,-0.15,-0.35
12:03:43:3524,0.18,10.00,0.36,-0.11,-0.30,-0.39
12:03:43:3724,0.17,9.97,0.35,-0.25,-0.26,-0.35
12:03:43:3925,0.18,10.01,0.35,-0.16,-0.17,-0.32
12:03:43:4124,0.16,9.98,0.34,-0.16,-0.23,-0.39
12:03:43:4325,0.16,10.00,0.37,-0.29,-0.17,-0.33
12:03:43:4524,0.16,9.99,0.34,-0.16,-0.18,-0.36
12:03:43:4725,0.16,9.99,0.35,-0.23,-0.18,-0.30
12:03:43:4924,0.16,10.00,0.39,-0.18,-0.37,-0.38
12:03:43:5124,0.16,10.00,0.35,-0.24,-0.16,-0.34
12:03:43:5324,0.16,10.00,0.36,-0.21,-0.09,-0.38
12:03:43:5524,0.16,9.98,0.34,-0.05,-0.06,-0.35
12:03:43:5725,0.16,9.98,0.35,-0.10,-0.16,-0.39
12:03:43:5925,0.15,9.99,0.33,-0.10,-0.07,-0.30
12:03:43:6125,0.18,10.00,0.40,-0.19,-0.17,-0.36
12:03:43:6326,0.16,9.97,0.37,-0.19,-0.23,-0.39
12:03:43:6525,0.17,9.99,0.36,-0.21,-0.13,-0.38
12:03:43:6725,0.17,9.98,0.36,-0.06,-0.07,-0.49
12:03:43:6925,0.16,10.00,0.34,-0.12,-0.01,-0.32
12:03:43:7125,0.17,10.00,0.33,-0.19,-0.19,-0.40
12:03:43:7325,0.15,10.00,0.37,-0.13,-0.04,-0.31
12:03:43:7525,0.16,10.00,0.37,-0.19,-0.21,-0.36
12:03:43:7725,0.17,10.00,0.37,-0.20,-0.17,-0.38
12:03:43:7925,0.16,10.00,0.34,-0.28,-0.42,-0.26
12:03:43:8125,0.15,9.98,0.36,-0.13,-0.03,-0.40
12:03:43:8325,0.16,10.00,0.36,-0.11,-0.08,-0.32
12:03:43:8525,0.16,9.98,0.35,-0.14,-0.22,-0.36
12:03:43:8725,0.19,9.98,0.34,-0.20,-0.09,-0.36
12:03:43:8925,0.17,9.99,0.33,-0.20,-0.22,-0.33
12:03:43:9125,0.16,10.00,0.35,-0.19,-0.10,-0.46
12:03:43:9325,0.17,10.00,0.37,-0.20,-0.19,-0.40
12:03:43:9525,0.17,9.98,0.35,-0.23,0.05,-0.29
12:03:43:9725,0.17,9.98,0.34,-0.21,0.01,-0.35
12:03:43:9925,0.17,9.99,0.34,-0.18,-0.13,-0.33
12:03:44:0125,0.16,9.99,0.40,-0.31,-0.23,-0.33
12:03:44:0325,0.17,9.99,0.34,-0.16,-0.20,-0.34
12:03:44:0525,0.17,9.98,0.34,-0.15,-0.12,-0.38
12:03:44:0725,0.16,10.00,0.36,-0.16,-0.17,-0.32
12:03:44:0925,0.15,9.99,0.36,-0.20,-0.20,-0.37
12:03:44:1125,0.18,10.00,0.37,-0.18,-0.14,-0.29
12:03:44:1326,0.17,10.00,0.35,-0.19,-0.20,-0.33
12:03:44:1525,0.16,9.96,0.36,-0.06,-0.15,-0.36
12:03:44:1725,0.15,10.00,0.36,-0.21,-0.18,-0.45
12:03:44:1925,0.15,9.98,0.35,-0.06,0.04,-0.34
12:03:44:2125,0.18,9.99,0.40,-0.22,-0.19,-0.34
12:03:44:2326,0.16,10.00,0.35,-0.16,-0.14,-0.38
12:03:44:2526,0.14,9.99,0.34,-0.19,-0.03,-0.38
12:03:44:2726,0.17,10.00,0.36,-0.26,-0.20,-0.34
12:03:44:2926,0.17,9.99,0.35,-0.24,-0.08,-0.40
12:03:44:3126,0.16,9.96,0.34,-0.13,-0.01,-0.39
12:03:44:3327,0.18,9.98,0.37,-0.14,-0.12,-0.39
12:03:44:3527,0.18,10.01,0.32,-0.18,-0.06,-0.39
12:03:44:3727,0.17,9.97,0.36,-0.20,-0.03,-0.40
12:03:44:3927,0.16,9.99,0.36,-0.13,-0.11,-0.34
12:03:44:4127,0.18,9.99,0.34,-0.19,-0.14,-0.28
12:03:44:4327,0.17,10.01,0.38,-0.19,-0.18,-0.34
12:03:44:4527,0.17,10.00,0.38,-0.22,-0.26,-0.28
12:03:44:4727,0.18,9.97,0.34,-0.13,-0.03,-0.40
12:03:44:4927,0.15,9.99,0.33,-0.09,0.02,-0.40
12:03:44:5127,0.17,9.99,0.35,-0.16,-0.04,-0.41
12:03:44:5327,0.15,9.98,0.35,-0.20,-0.01,-0.42
12:03:44:5527,0.15,9.97,0.37,-0.24,-0.04,-0.42
12:03:44:5727,0.16,9.98,0.36,-0.09,-0.13,-0.33
12:03:44:5927,0.16,10.01,0.34,-0.26,-0.12,-0.38
12:03:44:6127,0.15,10.00,0.32,-0.23,-0.06,-0.32
12:03:44:6328,0.16,9.98,0.36,-0.21,-0.22,-0.35
12:03:44:6527,0.18,9.97,0.36,-0.22,-0.29,-0.32
12:03:44:6727,0.16,9.98,0.33,-0.24,-0.26,-0.32
12:03:44:6927,0.16,10.00,0.39,-0.20,-0.05,-0.32
12:03:44:7127,0.17,10.00,0.38,-0.18,-0.12,-0.34
12:03:44:7327,0.18,9.96,0.38,-0.26,-0.20,-0.36
12:03:44:7527,0.18,9.99,0.32,-0.21,-0.27,-0.41
12:03:44:7727,0.16,10.00,0.38,-0.24,-0.19,-0.32
12:03:44:7927,0.14,10.00,0.35,-0.13,-0.09,-0.35
12:03:44:8127,0.16,10.00,0.35,-0.20,-0.17,-0.34
12:03:44:8328,0.18,10.00,0.39,-0.20,-0.20,-0.39
12:03:44:8527,0.18,9.99,0.31,-0.13,-0.12,-0.34
12:03:44:8728,0.16,9.99,0.35,-0.29,-0.20,-0.43
12:03:44:8928,0.16,9.97,0.34,-0.19,-0.05,-0.39
12:03:44:9127,0.15,9.98,0.36,-0.12,-0.05,-0.40
12:03:44:9327,0.16,10.00,0.33,-0.20,-0.04,-0.32
12:03:44:9527,0.18,9.99,0.35,-0.17,-0.16,-0.29
